HOG	OG	Gene Tree Parent Clade	Aar	Ath	Chi	Cru	Tar
N0.HOG0004280	OG0002622	n0	Aa31LG10G5000	AT3G18610.1, AT1G48920.1	CARHR093990.1, CARHR038910.1	Carub.0003s1839.1.p, Carub.0001s3809.1.p	gene-TAV2_LOCUS11014, gene-TAV2_LOCUS3754
N0.HOG0004281	OG0002623	n1	Aa31LG10G5880	AT4G16250.1		Carub.0007s2528.1.p	gene-TAV2_LOCUS22701
N0.HOG0004282	OG0002623	n4	Aa31LG8G4080	AT2G18790.1	CARHR092300.1	Carub.0003s3305.1.p	gene-TAV2_LOCUS10164
N0.HOG0004283	OG0002624	n1	Aa31LG8G4010	AT3G16950.2	CARHR092220.1	Carub.0003s1670.1.p	
N0.HOG0004284	OG0002624	n4	Aa31LG10G5970	AT4G16155.1	CARHR222520.1	Carub.0007s2540.1.p	gene-TAV2_LOCUS22728
N0.HOG0004285	OG0002625	n0	Aa31LG10G6160	AT4G15990.1, AT4G16024.1	CARHR290630.1, CARHR147860.1	Carub.0007s2562.1.p, Carub.0007s2559.1.p	gene-TAV2_LOCUS22789, gene-TAV2_LOCUS22790
N0.HOG0004286	OG0002626	n1	Aa31LG10G6260		CARHR290410.1		gene-TAV2_LOCUS25616
N0.HOG0004287	OG0002626	n3	Aa31LG8G3750	AT3G16630.1	CARHR091880.1	Carub.0003s1636.1.p	gene-TAV2_LOCUS8370, gene-TAV2_LOCUS9058
N0.HOG0004288	OG0002627	n0	Aa31LG10G6350, Aa31LG8G5320	AT4G15760.2, AT4G15765.1	CARHR290240.1, CARHR290250.1	Carub.0007s2592.1.p, Carub.0007s2591.1.p	gene-TAV2_LOCUS24688
N0.HOG0004289	OG0002628	n0	Aa31LG10G6360	AT4G15755.1	CARHR054700.1, CARHR180170.1	Carub.0007s2588.1.p, Carub.0007s2594.1.p, Carub.0001s3869.1.p, Carub.0007s2593.1.p	gene-TAV2_LOCUS24689
N0.HOG0004290	OG0002629	n1	Aa31LG10G6430	AT2G34910.1	CARHR129060.1	Carub.0004s1659.1.p	
N0.HOG0004291	OG0002629	n4	Aa31LG6G12270	AT1G30850.1	CARHR030340.1	Carub.0001s2919.1.p	gene-TAV2_LOCUS2209
N0.HOG0004292	OG0002630	n1	Aa31LG10G6510	AT2G34790.1	CARHR128950.1	Carub.0004s1648.1.p	
N0.HOG0004293	OG0002630	n4	Aa31LG6G12000	AT1G30760.2	CARHR030240.1	Carub.0001s2907.1.p	gene-TAV2_LOCUS1669
N0.HOG0004294	OG0002631	n1	Aa31LG10G6680	AT2G34660.1	CARHR128780.1	Carub.0004s1635.1.p	
N0.HOG0004295	OG0002631	n4	Aa31LG6G5390	AT1G30400.2	CARHR029780.1	Carub.0001s2859.1.p	gene-TAV2_LOCUS1511
N0.HOG0004296	OG0002632	n0	Aa31LG10G6800	AT1G30120.1, AT2G34590.1	CARHR029290.1, CARHR128690.1	Carub.0001s2834.1.p, Carub.0004s1627.1.p	gene-TAV2_LOCUS798, gene-TAV2_LOCUS13288
N0.HOG0004297	OG0002633	n0	Aa31sc439G10, Aa31LG10G8040, Aa31sc147G10	AT4G12720.4, AT2G04450.1	CARHR102380.1	Carub.0007s3041.1.p, Carub.0003s2612.1.p	gene-TAV2_LOCUS23521
N0.HOG0004298	OG0002634	n1	Aa31LG5G21470	AT2G36320.1	CARHR130610.1	Carub.0004s1809.1.p	gene-TAV2_LOCUS26212
N0.HOG0004299	OG0002634	n5	Aa31LG10G8070	AT3G52800.2	CARHR162680.1	Carub.0005s1928.1.p	
N0.HOG0004300	OG0002635	n1	Aa31LG10G8100	AT5G19920.1	CARHR192940.1	Carub.0006s1829.1.p	
N0.HOG0004301	OG0002635	n4	Aa31LG3G7450	AT5G50970.1	CARHR257220.1	Carub.0008s1099.1.p	gene-TAV2_LOCUS21514
N0.HOG0004302	OG0002636	n0	Aa31LG10G8160, Aa31LG10G9440	AT2G36500.1, AT3G52950.1	CARHR130810.1, CARHR162830.1	Carub.0004s1832.1.p, Carub.0005s1943.1.p	gene-TAV2_LOCUS14583
N0.HOG0004303	OG0002637	n0	Aa31LG10G8920, Aa31LG10G8490, Aa31LG10G8450, Aa31LG10G8900, Aa31LG10G8910	AT3G53360.1	CARHR163210.1	Carub.0005s1991.1.p	gene-TAV2_LOCUS16415
N0.HOG0004304	OG0002638	n0	Aa31LG10G8930	AT3G53970.1, AT1G48530.1	CARHR163870.1, CARHR164030.1	Carub.0005s2056.1.p, Carub.0003s2694.1.p	gene-TAV2_LOCUS7535, gene-TAV2_LOCUS17907
N0.HOG0004305	OG0002639	n0	Aa31LG10G9330	AT3G53710.2, AT2G37550.1	CARHR163600.1, CARHR132060.1	Carub.0005s2029.1.p, Carub.0004s1947.1.p	gene-TAV2_LOCUS15572, gene-TAV2_LOCUS12572
N0.HOG0004306	OG0002640	n1	Aa31LG10G9570	AT3G53560.2	CARHR163460.1	Carub.0005s2013.1.p	
N0.HOG0004307	OG0002640	n4	Aa31LG5G22810	AT2G37400.1	CARHR132190.1	Carub.0004s1932.1.p	gene-TAV2_LOCUS12692
N0.HOG0004308	OG0002641	n0	Aa31LG2G18790, Aa31LG10G9970, Aa31LG10G12970, Aa31LG10G12980, Aa31LG10G12950, Aa31LG10G12940, Aa31LG2G18750, Aa31LG2G18770, Aa31LG2G18780				
N0.HOG0004309	OG0002642	n0	Aa31LG10G9980	AT2G39400.1, AT3G55180.1	CARHR134250.1, CARHR165200.1	Carub.0004s2145.1.p, Carub.0005s2182.1.p	gene-TAV2_LOCUS12978, gene-TAV2_LOCUS16156
N0.HOG0004310	OG0002643	n1	Aa31LG10G10020	AT3G55150.1	CARHR165180.1	Carub.0005s2179.1.p	
N0.HOG0004311	OG0002643	n4	Aa31LG5G20340	AT2G39380.1	CARHR134230.1	Carub.0004s2143.1.p	gene-TAV2_LOCUS14521
N0.HOG0004312	OG0002644	n2	Aa31LG5G19720	AT2G39900.1	CARHR134820.1	Carub.0004s2203.1.p	
N0.HOG0004313	OG0002644	n5	Aa31LG10G10760	AT3G55770.7	CARHR165880.1	Carub.0005s2256.1.p	
N0.HOG0004314	OG0002645	n2	Aa31LG5G19330	AT2G40240.1	CARHR135280.1	Carub.0004s2246.1.p	
N0.HOG0004315	OG0002645	n5	Aa31LG10G10970	AT3G56030.1	CARHR166100.1	Carub.0005s2276.1.p	
N0.HOG0004316	OG0002646	n0	Aa31LG10G11310	AT3G56430.1, AT2G40800.1	CARHR166560.1, CARHR135900.1	Carub.0005s2321.1.p, Carub.0004s2310.1.p	gene-TAV2_LOCUS16354, gene-TAV2_LOCUS12897
N0.HOG0004317	OG0002647	n0	Aa31LG10G11330	AT3G56440.1, AT2G40810.1	CARHR166570.1, CARHR135920.1	Carub.0005s2322.1.p, Carub.0004s2312.1.p	gene-TAV2_LOCUS16351, gene-TAV2_LOCUS12899
N0.HOG0004318	OG0002648	n0	Aa31LG10G11600	AT2G41140.1, AT3G56760.1	CARHR136230.1, CARHR166910.1	Carub.0004s2345.1.p, Carub.0005s2350.1.p	gene-TAV2_LOCUS13629, gene-TAV2_LOCUS16307
N0.HOG0004319	OG0002649	n0	Aa31LG10G11940	AT3G57020.1	CARHR167180.1, CARHR167170.1, CARHR167190.1, CARHR167200.1	Carub.0005s2378.1.p, Carub.0005s2379.1.p, Carub.0005s2381.1.p	
N0.HOG0004320	OG0002650	n0	Aa31LG10G12640	AT2G42190.3, AT3G57930.2	CARHR137230.1, CARHR168230.1	Carub.0004s2453.1.p, Carub.0005s2477.1.p	gene-TAV2_LOCUS17656, gene-TAV2_LOCUS4478
N0.HOG0004321	OG0002651	n0	Aa31LG10G13230	AT3G05750.1, AT3G58650.1	CARHR080220.1, CARHR169040.1	Carub.0003s0512.1.p, Carub.0005s2544.1.p	gene-TAV2_LOCUS8866, gene-TAV2_LOCUS17315
N0.HOG0004322	OG0002652	n0	Aa31LG10G13920, Aa31sc143G50	AT3G59600.1, AT1G54250.1	CARHR044620.1	Carub.0005s2632.1.p, Carub.0001s4349.1.p	gene-TAV2_LOCUS1796, gene-TAV2_LOCUS15179
N0.HOG0004323	OG0002653	n0	Aa31LG10G14740, Aa31LG3G14680	AT5G12960.1, AT5G12950.1	CARHR200500.1	Carub.0006s1113.1.p	gene-TAV2_LOCUS8692, gene-TAV2_LOCUS20838, gene-TAV2_LOCUS8693
N0.HOG0004324	OG0002654	n0	Aa31LG10G14910	AT2G45150.1, AT3G60620.1	CARHR140370.1, CARHR171010.1	Carub.0004s2776.1.p, Carub.0005s2735.1.p	gene-TAV2_LOCUS13145, gene-TAV2_LOCUS16395
N0.HOG0004325	OG0002655	n1	Aa31LG2G12630		CARHR222930.1	Carub.0007s2497.1.p	gene-TAV2_LOCUS23971
N0.HOG0004326	OG0002655	n4	Aa31LG10G14930	AT3G60640.1	CARHR171040.1	Carub.0005s2737.1.p	gene-TAV2_LOCUS16015
N0.HOG0004327	OG0002656	n0	Aa31LG10G15520	AT3G61440.1	CARHR171780.1	Carub.0005s2813.1.p	gene-TAV2_LOCUS6204, gene-TAV2_LOCUS18234, gene-TAV2_LOCUS6997, gene-TAV2_LOCUS2522, gene-TAV2_LOCUS6434
N0.HOG0004328	OG0002657	n1	Aa31LG10G16650	AT3G62720.1	CARHR172990.1	Carub.0005s2939.1.p	
N0.HOG0004329	OG0002657	n4	Aa31LG5G2130	AT4G02500.1	CARHR250800.1	Carub.0006s3463.1.p	gene-TAV2_LOCUS19580
N0.HOG0004330	OG0002658	n1	Aa31LG10G17210	AT3G63380.1	CARHR291590.1		gene-TAV2_LOCUS26374
N0.HOG0004331	OG0002658	n4	Aa31LG8G9400	AT3G22910.1	CARHR098860.1	Carub.0003s2304.1.p	gene-TAV2_LOCUS8729
N0.HOG0004332	OG0002659	n0	Aa31LG10G17380, Aa31LG5G18360	AT5G47970.1, AT3G63510.1	CARHR184310.1, CARHR291460.1	Carub.0008s0751.1.p, Carub.0005s3012.1.p	gene-TAV2_LOCUS8042
N0.HOG0004333	OG0002660	n0	Aa31LG11G180	AT5G07070.1, AT5G58380.1	CARHR206080.1, CARHR272220.1	Carub.0006s0599.1.p, Carub.0008s1897.1.p	gene-TAV2_LOCUS19396, gene-TAV2_LOCUS18446
N0.HOG0004334	OG0002661	n0	Aa31LG11G300	AT5G07150.2, AT5G58540.1	CARHR205990.1, CARHR272370.1	Carub.0006s0607.1.p, Carub.0008s1914.1.p	gene-TAV2_LOCUS20028, gene-TAV2_LOCUS19556
N0.HOG0004335	OG0002662	n0	Aa31LG11G560	AT3G47160.2, AT5G58787.1	CARHR155850.1, CARHR272730.1	Carub.0005s1336.1.p, Carub.0008s1943.1.p	gene-TAV2_LOCUS16537, gene-TAV2_LOCUS20647
N0.HOG0004336	OG0002663	n0	Aa31LG11G680	AT3G28956.3, AT5G62950.4	CARHR276760.1	Carub.0004s0755.1.p, Carub.0008s2366.1.p	gene-TAV2_LOCUS14874, gene-TAV2_LOCUS3914, gene-TAV2_LOCUS6454
N0.HOG0004337	OG0002664	n0	Aa31LG11G1130	AT3G47690.1, AT5G62500.1	CARHR156360.1, CARHR276290.1	Carub.0005s1382.1.p, Carub.0008s2316.1.p	gene-TAV2_LOCUS18254, gene-TAV2_LOCUS5117
N0.HOG0004338	OG0002665	n0	Aa31LG11G1370	AT5G07180.1, AT5G62230.1	CARHR205970.1, CARHR276010.1	Carub.0006s0611.1.p, Carub.0008s2292.1.p	gene-TAV2_LOCUS20218, gene-TAV2_LOCUS7142
N0.HOG0004339	OG0002666	n1	Aa31LG11G1680	AT5G61810.1	CARHR275570.1	Carub.0008s2250.1.p	gene-TAV2_LOCUS5507
N0.HOG0004340	OG0002666	n5	Aa31LG3G19050	AT5G07320.1	CARHR205830.1	Carub.0006s0628.1.p	
N0.HOG0004341	OG0002667	n0	Aa31LG11G1820	AT5G07470.1, AT5G61640.2	CARHR205670.1, CARHR275440.1	Carub.0006s0645.1.p, Carub.0008s2234.1.p	gene-TAV2_LOCUS20354, gene-TAV2_LOCUS6920
N0.HOG0004342	OG0002668	n0	Aa31LG11G1940	AT5G07660.1, AT5G61460.1	CARHR205510.1, CARHR275220.1	Carub.0006s0663.1.p, Carub.0008s2215.1.p	gene-TAV2_LOCUS21589, gene-TAV2_LOCUS6386
N0.HOG0004343	OG0002669	n0	Aa31LG11G3030	AT3G48830.1, AT5G23690.1	CARHR157650.1, CARHR189860.1	Carub.0005s1500.1.p, Carub.0006s2144.1.p	gene-TAV2_LOCUS16992, gene-TAV2_LOCUS5874
N0.HOG0004344	OG0002670	n1	Aa31LG4G17790	AT3G49290.1		Carub.0005s1549.1.p	gene-TAV2_LOCUS15346
N0.HOG0004345	OG0002670	n4	Aa31LG11G3550	AT5G24310.1	CARHR189190.1	Carub.0006s2208.1.p	gene-TAV2_LOCUS7564
N0.HOG0004346	OG0002671	n1	Aa31LG11G3690	AT5G24430.1		Carub.0006s2226.1.p	gene-TAV2_LOCUS5309
N0.HOG0004347	OG0002671	n4	Aa31LG4G17920	AT3G49370.1	CARHR158310.1	Carub.0005s1570.1.p	gene-TAV2_LOCUS16561
N0.HOG0004348	OG0002672	n1	Aa31LG4G17960	AT3G49410.1	CARHR158380.1	Carub.0005s1566.1.p	
N0.HOG0004349	OG0002672	n4	Aa31LG11G3700	AT5G24450.1	CARHR188960.1	Carub.0006s2228.1.p	gene-TAV2_LOCUS5436
N0.HOG0004350	OG0002673	n1	Aa31LG4G18050	AT3G49560.1	CARHR158570.1	Carub.0005s1589.1.p	
N0.HOG0004351	OG0002673	n4	Aa31LG11G3900	AT5G24650.1	CARHR188810.1	Carub.0006s2250.1.p	gene-TAV2_LOCUS7013
N0.HOG0004352	OG0002674	n1	Aa31LG11G4380	AT5G25110.1	CARHR188380.1, CARHR151970.1	Carub.0006s2295.1.p	
N0.HOG0004353	OG0002674	n5	Aa31LG3G16200	AT5G10930.1	CARHR202360.1	Carub.0006s0942.1.p	
N0.HOG0004354	OG0002675	n0	Aa31LG11G4550, Aa31sc618G60, Aa31sc618G70, Aa31sc185G40, Aa31sc618G40	AT5G25370.2	CARHR188090.1	Carub.0006s2319.1.p	gene-TAV2_LOCUS5405
N0.HOG0004355	OG0002676	n0	Aa31LG11G4750	AT5G25754.1, AT5G25757.1	CARHR289290.1	Carub.0006s2353.1.p, Carub.0006s2352.1.p	gene-TAV2_LOCUS6551, gene-TAV2_LOCUS6552, gene-TAV2_LOCUS6962
N0.HOG0004356	OG0002677	n1	Aa31LG3G15590	AT5G11590.1	CARHR201630.1	Carub.0006s1007.1.p	gene-TAV2_LOCUS26250
N0.HOG0004357	OG0002677	n5	Aa31LG11G4860	AT5G25810.1	CARHR187610.1	Carub.0006s2358.1.p	
N0.HOG0004358	OG0002678	n0	Aa31LG9G10330, Aa31LG9G10320, Aa31LG11G5130, Aa31LG11G5160, Aa31sc1931G10	AT5G48120.1	CARHR259290.1	Carub.0008s0769.1.p	gene-TAV2_LOCUS7477
N0.HOG0004359	OG0002679	n0	Aa31LG11G5140, Aa31LG11G5170, Aa31LG9G10340	AT4G12130.1	CARHR254050.1	Carub.0006s3132.1.p	gene-TAV2_LOCUS18943, gene-TAV2_LOCUS20901, gene-TAV2_LOCUS12469
N0.HOG0004360	OG0002680	n1	Aa31LG11G5270	AT5G04390.1	CARHR208920.1	Carub.0006s0333.1.p	
N0.HOG0004361	OG0002680	n4	Aa31LG3G3330	AT3G10470.1	CARHR084980.1	Carub.0003s0971.1.p	gene-TAV2_LOCUS10362
N0.HOG0004362	OG0002681	n0	Aa31LG11G5280	AT3G10490.2, AT3G10480.3	CARHR208910.1, CARHR084990.1, CARHR085000.1	Carub.0003s0973.1.p, Carub.0003s0972.1.p	gene-TAV2_LOCUS10363
N0.HOG0004363	OG0002682	n0	Aa31LG11G5370, Aa31LG9G6390	AT5G04500.1	CARHR208770.1	Carub.0006s0343.1.p	gene-TAV2_LOCUS4589, gene-TAV2_LOCUS4592, gene-TAV2_LOCUS4590, gene-TAV2_LOCUS21869
N0.HOG0004364	OG0002683	n0	Aa31LG11G5670	AT5G05010.1	CARHR208250.1, CARHR277810.1	Carub.0008s0725.1.p, Carub.0007s3315.1.p, Carub.0006s0395.1.p	gene-TAV2_LOCUS18353, gene-TAV2_LOCUS19355
N0.HOG0004365	OG0002684	n0	Aa31LG11G5990	AT3G10820.2, AT5G05140.1	CARHR085400.1, CARHR208120.1	Carub.0003s1006.1.p, Carub.0006s0407.1.p	gene-TAV2_LOCUS10675, gene-TAV2_LOCUS20851
N0.HOG0004366	OG0002685	n0	Aa31LG11G6540	AT2G40290.1, AT5G05470.1	CARHR103760.1, CARHR135360.1	Carub.0004s2253.1.p, Carub.0006s0190.1.p, Carub.0006s0437.1.p	gene-TAV2_LOCUS14720
N0.HOG0004367	OG0002686	n1	Aa31LG3G4250	AT3G11100.1	CARHR085680.1, CARHR153390.1	Carub.0003s1039.1.p	
N0.HOG0004368	OG0002686	n5	Aa31LG11G6610	AT5G05550.2	CARHR207710.1	Carub.0006s0445.1.p	
N0.HOG0004369	OG0002687	n0	Aa31LG11G6660	AT3G11180.2, AT5G05600.1	CARHR085750.1, CARHR207680.1	Carub.0003s1050.1.p, Carub.0006s0450.1.p	gene-TAV2_LOCUS9867, gene-TAV2_LOCUS18964
N0.HOG0004370	OG0002688	n0	Aa31LG11G6790	AT3G11260.1, AT5G05770.1	CARHR085820.1, CARHR207490.1	Carub.0003s1057.1.p, Carub.0006s0467.1.p	gene-TAV2_LOCUS10970, gene-TAV2_LOCUS18533
N0.HOG0004371	OG0002689	n0	Aa31LG11G7970, Aa31LG5G17290	AT3G06700.1, AT3G06680.1	CARHR081280.1, CARHR081290.1	Carub.0003s0623.1.p, Carub.0003s0624.1.p	gene-TAV2_LOCUS12654
N0.HOG0004372	OG0002690	n1	Aa31LG6G6040	AT3G07920.1	CARHR082650.1		
N0.HOG0004373	OG0002690	n3	Aa31LG11G8150	AT5G20920.3	CARHR191930.1	Carub.0006s1921.1.p	gene-TAV2_LOCUS10575, gene-TAV2_LOCUS19802
N0.HOG0004374	OG0002691	n0	Aa31LG11G8780	AT3G05300.1, AT5G28050.3	CARHR079640.1, CARHR184990.1	Carub.0003s0456.1.p, Carub.0006s2557.1.p	gene-TAV2_LOCUS9511, gene-TAV2_LOCUS5517
N0.HOG0004375	OG0002692	n1	Aa31LG11G8840		CARHR185710.1	Carub.0006s2543.1.p	gene-TAV2_LOCUS6671
N0.HOG0004376	OG0002692	n4	Aa31LG5G15350	AT3G05100.1	CARHR079420.1	Carub.0003s0434.1.p	gene-TAV2_LOCUS11799
N0.HOG0004377	OG0002693	n0	Aa31LG11G8890	AT3G05040.2	CARHR185780.1, CARHR079360.1	Carub.0006s2534.1.p, Carub.0003s0429.1.p	gene-TAV2_LOCUS6674, gene-TAV2_LOCUS4211, gene-TAV2_LOCUS9836
N0.HOG0004378	OG0002694	n0	Aa31LG11G9020, Aa31LG11G8960, Aa31LG11G8920, Aa31LG11G8970	AT5G27220.1	CARHR054200.1, CARHR185830.1	Carub.0006s2529.1.p	gene-TAV2_LOCUS6668
N0.HOG0004379	OG0002695	n0	Aa31LG11G9060	AT3G05130.1, AT5G27330.1	CARHR079450.1, CARHR162300.1, CARHR185930.1	Carub.0003s0437.1.p, Carub.0006s2521.1.p	gene-TAV2_LOCUS10383
N0.HOG0004380	OG0002696	n0	Aa31LG5G10760, Aa31LG11G9220, Aa31LG5G22270	AT3G01610.2	CARHR017030.1, CARHR075310.1	Carub.0001s1631.1.p, Carub.0003s0045.1.p	gene-TAV2_LOCUS10165
N0.HOG0004381	OG0002697	n1	Aa31LG5G15820	AT3G05550.1	CARHR079950.1	Carub.0003s0485.1.p	
N0.HOG0004382	OG0002697	n4	Aa31LG11G9520	AT5G27760.1	CARHR186270.1	Carub.0006s2479.1.p	gene-TAV2_LOCUS7771
N0.HOG0004383	OG0002698	n1	Aa31LG11G9530	AT5G27770.1	CARHR186280.1		gene-TAV2_LOCUS7773
N0.HOG0004384	OG0002698	n4	Aa31LG5G15810	AT3G05560.3	CARHR079960.1	Carub.0003s0486.1.p, Carub.0006s2477.1.p	
N0.HOG0004385	OG0002699	n1	Aa31LG11G9870	AT5G26770.5	CARHR186800.1	Carub.0006s2442.1.p	
N0.HOG0004386	OG0002699	n4	Aa31LG5G16210	AT3G05830.2	CARHR080290.1	Carub.0003s0519.1.p	gene-TAV2_LOCUS9996
N0.HOG0004387	OG0002700	n1	Aa31LG5G16370	AT3G05937.1	CARHR080420.1	Carub.0003s0533.1.p	
N0.HOG0004388	OG0002700	n4	Aa31LG11G10030	AT5G26731.1	CARHR186980.1	Carub.0006s2420.1.p	gene-TAV2_LOCUS6162
N0.HOG0004389	OG0002701	n1	Aa31LG11G10570		CARHR193860.1		gene-TAV2_LOCUS22259
N0.HOG0004390	OG0002701	n3	Aa31LG11G10520, Aa31LG11G10530	AT5G19110.2	CARHR193840.1	Carub.0006s1744.1.p	gene-TAV2_LOCUS22260
N0.HOG0004391	OG0002702	n0	Aa31LG11G10670	AT5G19050.1	CARHR193940.1	Carub.0006s1737.1.p	gene-TAV2_LOCUS8333, gene-TAV2_LOCUS8325, gene-TAV2_LOCUS18736, gene-TAV2_LOCUS8330, gene-TAV2_LOCUS8332
N0.HOG0004392	OG0002703	n1	Aa31LG11G10700	AT5G19025.2	CARHR193980.1	Carub.0006s1734.1.p	gene-TAV2_LOCUS12068
N0.HOG0004393	OG0002703	n5	Aa31LG5G16690	AT3G06180.1	CARHR080700.1	Carub.0003s0562.1.p	
N0.HOG0004394	OG0002704	n1	Aa31LG5G16740	AT3G06210.1		Carub.0003s0565.1.p	gene-TAV2_LOCUS10450
N0.HOG0004395	OG0002704	n4	Aa31LG11G10750	AT5G18980.1	CARHR194020.1	Carub.0006s1728.1.p	gene-TAV2_LOCUS21213
N0.HOG0004396	OG0002705	n0	Aa31LG11G10840	AT5G18890.1, AT5G18870.1, AT5G18860.1	CARHR194130.1, CARHR194140.1	Carub.0006s1719.1.p, Carub.0006s1718.1.p	gene-TAV2_LOCUS21211
N0.HOG0004397	OG0002706	n1	Aa31LG11G11110	AT5G18490.1	CARHR194520.1	Carub.0006s1677.1.p	
N0.HOG0004398	OG0002706	n4	Aa31LG5G14800	AT3G04350.1	CARHR078530.1	Carub.0003s0356.1.p	gene-TAV2_LOCUS10357
N0.HOG0004399	OG0002707	n1	Aa31LG5G14530	AT3G03940.1	CARHR078070.1	Carub.0003s0319.1.p	
N0.HOG0004400	OG0002707	n4	Aa31LG11G11420	AT5G18190.2	CARHR194870.1	Carub.0006s1647.1.p	gene-TAV2_LOCUS19855
N0.HOG0004401	OG0002708	n0	Aa31LG11G11510, Aa31LG8G13300	AT5G18090.1, AT5G18000.1	CARHR194980.1, CARHR195070.1	Carub.0006s1638.1.p, Carub.0006s1619.1.p	gene-TAV2_LOCUS18489
N0.HOG0004402	OG0002709	n0	Aa31LG11G12230, Aa31LG11G12340	AT5G17340.1	CARHR195880.1, CARHR195870.1	Carub.0006s1554.1.p, Carub.0006s1555.1.p	gene-TAV2_LOCUS19927, gene-TAV2_LOCUS19928
N0.HOG0004403	OG0002710	n0	Aa31LG11G12300	AT1G01350.1, AT5G06420.2	CARHR001090.1, CARHR001100.1	Carub.0001s0088.1.p, Carub.0008s2038.1.p	gene-TAV2_LOCUS2329, gene-TAV2_LOCUS8160
N0.HOG0004404	OG0002711	n1	Aa31LG5G13850	AT5G17310.2		Carub.0006s1550.1.p	gene-TAV2_LOCUS21385
N0.HOG0004405	OG0002711	n4	Aa31LG11G12370	AT3G03250.2	CARHR077270.1	Carub.0003s0240.1.p	gene-TAV2_LOCUS9945
N0.HOG0004406	OG0002712	n0	Aa31LG11G12580	AT3G03110.1, AT5G17020.1	CARHR077130.1, CARHR196150.1	Carub.0003s0226.1.p, Carub.0006s1522.1.p	gene-TAV2_LOCUS11074, gene-TAV2_LOCUS18628
N0.HOG0004407	OG0002713	n1	Aa31LG5G13540	AT3G03060.1	CARHR077070.1	Carub.0003s0221.1.p	
N0.HOG0004408	OG0002713	n4	Aa31LG11G12670	AT5G16930.1	CARHR196220.1	Carub.0006s1514.1.p	gene-TAV2_LOCUS18620
N0.HOG0004409	OG0002714	n0	Aa31LG11G13510	AT5G16100.2	CARHR197210.1, CARHR197200.1	Carub.0008s1244.1.p, Carub.0055s0004.1.p, Carub.0002s0764.1.p, Carub.0006s1429.1.p	gene-TAV2_LOCUS20761
N0.HOG0004410	OG0002715	n1	Aa31LG11G13630	AT5G15980.1	CARHR197330.1	Carub.0006s1417.1.p	
N0.HOG0004411	OG0002715	n4	Aa31LG5G12980	AT3G02490.1	CARHR076470.1	Carub.0003s0159.1.p	gene-TAV2_LOCUS11166
N0.HOG0004412	OG0002716	n1	Aa31LG5G12970	AT3G02470.1	CARHR076450.1	Carub.0003s0157.1.p	
N0.HOG0004413	OG0002716	n4	Aa31LG11G13640	AT5G15950.2	CARHR197350.1	Carub.0006s1415.1.p	gene-TAV2_LOCUS20277
N0.HOG0004414	OG0002717	n1	Aa31LG11G13670	AT5G15930.1	CARHR197380.1	Carub.0006s1412.1.p	
N0.HOG0004415	OG0002717	n4	Aa31LG5G12960	AT3G02460.1	CARHR076430.1	Carub.0003s0155.1.p	gene-TAV2_LOCUS11168
N0.HOG0004416	OG0002718	n0	Aa31LG11G13720	AT1G18310.1, AT5G15870.1	CARHR018880.1, CARHR197440.1	Carub.0001s1793.1.p, Carub.0006s1406.1.p	gene-TAV2_LOCUS146, gene-TAV2_LOCUS20272
N0.HOG0004417	OG0002719	n1	Aa31LG11G14220	AT3G01130.4			
N0.HOG0004418	OG0002719	n2	Aa31LG5G12500	AT5G15320.1	CARHR075920.1, CARHR197990.1	Carub.0006s1351.1.p, Carub.0003s0104.1.p	gene-TAV2_LOCUS18750
N0.HOG0004419	OG0002720	n0	Aa31LG11G14500	AT3G01320.1, AT5G15020.1	CARHR075690.1, CARHR198290.1	Carub.0003s0081.1.p, Carub.0006s1318.1.p	gene-TAV2_LOCUS10390, gene-TAV2_LOCUS22121
N0.HOG0004420	OG0002721	n1	Aa31LG5G11050	AT3G01930.2	CARHR075030.1		gene-TAV2_LOCUS8267
N0.HOG0004421	OG0002721	n4	Aa31LG11G14920	AT5G14120.1	CARHR199220.1	Carub.0006s1232.1.p	gene-TAV2_LOCUS20463
N0.HOG0004422	OG0002722	n0	Aa31LG2G10	AT1G11990.2, AT1G62330.1	CARHR012320.1, CARHR049740.1	Carub.0001s1167.1.p, Carub.0002s0266.1.p	gene-TAV2_LOCUS3048, gene-TAV2_LOCUS7759
N0.HOG0004423	OG0002723	n0	Aa31LG2G30	AT1G11940.1, AT1G62305.1	CARHR012290.1, CARHR049810.1	Carub.0001s1164.1.p, Carub.0002s0269.1.p	gene-TAV2_LOCUS599, gene-TAV2_LOCUS6578
N0.HOG0004424	OG0002724	n1	Aa31LG2G130	AT1G62430.1	CARHR049460.1	Carub.0002s0253.1.p	
N0.HOG0004425	OG0002724	n4	Aa31LG6G4440	AT4G22340.3	CARHR229250.1	Carub.0007s1896.1.p	gene-TAV2_LOCUS25750
N0.HOG0004426	OG0002725	n0	Aa31LG2G420	AT1G12460.1, AT1G62950.1	CARHR012750.1, CARHR048710.1	Carub.0001s1216.1.p, Carub.0002s0207.1.p	gene-TAV2_LOCUS2032, gene-TAV2_LOCUS6257
N0.HOG0004427	OG0002726	n0	Aa31LG2G540	AT1G12640.1, AT1G63050.1	CARHR012930.1, CARHR048570.1	Carub.0001s1233.1.p, Carub.0002s0195.1.p	gene-TAV2_LOCUS2620, gene-TAV2_LOCUS6637
N0.HOG0004428	OG0002727	n1	Aa31LG9G650	AT5G41260.1	CARHR213070.1		gene-TAV2_LOCUS25724
