#OG_name	Cru.fasta	Ath.fasta	Aar.fasta	Chi.fasta	Tar.fasta
OG_1	Carub.0007s2402.1.p Carub.0007s2467.1.p	AT4G17390.1 AT4G16720.1	Aa31LG6G130 Aa31LG9G12170 Aa31LG2G12900	CARHR223250.1 CARHR224000.1	gene-TAV2_LOCUS9490 gene-TAV2_LOCUS23435
OG_3877	Carub.0005s1101.1.p	AT3G45230.1	Aa31LG4G14540	CARHR150740.1	
OG_3878	Carub.0005s1225.1.p	AT3G46450.2	Aa31LG4G15500	CARHR155380.1	gene-TAV2_LOCUS18219
OG_3879	Carub.0005s2011.1.p	AT3G53530.2		CARHR163440.1	gene-TAV2_LOCUS17034
OG_3880	Carub.0005s1272.1.p Carub.0005s1271.1.p Carub.0005s1270.1.p	AT5G38280.2	Aa31LG9G17150	CARHR214310.1	
OG_3881	Carub.0005s2341.1.p	AT3G56660.1		CARHR166770.1 CARHR159410.1	gene-TAV2_LOCUS16311
OG_3882	Carub.0005s2201.1.p	AT3G55370.3	Aa31LG10G10400	CARHR165380.1	gene-TAV2_LOCUS15240
OG_3883	Carub.0004s0948.1.p	AT2G28510.1		CARHR121520.1	gene-TAV2_LOCUS13328
OG_3884	Carub.0005s0057.1.p	AT2G01620.1	Aa31LG2G8270	CARHR144190.1	gene-TAV2_LOCUS4992
OG_3885	Carub.0005s0721.1.p	AT3G28690.2	Aa31LG2G4520	CARHR286640.1	gene-TAV2_LOCUS8050
OG_3886	Carub.0005s1919.1.p	AT3G52740.1	Aa31LG10G7750	CARHR162610.1	
OG_3887	Carub.0005s1862.1.p	AT3G52260.3	Aa31LG10G7360	CARHR162020.1	gene-TAV2_LOCUS15564
OG_3888	Carub.0005s1541.1.p	AT3G49180.1	Aa31LG8G4250 Aa31LG4G17610 Aa31LG10G9730	CARHR158060.1	gene-TAV2_LOCUS18159
OG_3889	Carub.0005s1081.1.p	AT3G45020.2	Aa31LG4G14120	CARHR150950.1	
OG_3890	Carub.0005s2302.1.p	AT3G56240.1	Aa31LG10G11150	CARHR166400.1	gene-TAV2_LOCUS15171
OG_3891	Carub.0005s2703.1.p	AT3G60290.1		CARHR170610.1	gene-TAV2_LOCUS17625
OG_3892	Carub.0005s0587.1.p	AT3G27460.4	Aa31LG2G5160	CARHR148830.1	gene-TAV2_LOCUS5015
OG_3893	Carub.0005s0461.1.p Carub.0001s1269.1.p	AT1G12920.1 AT3G26618.1	Aa31LG1G1860	CARHR147640.1 CARHR013260.1	
OG_3894	Carub.0005s1855.1.p	AT3G52190.1	Aa31LG10G7290	CARHR161950.1	gene-TAV2_LOCUS15200
OG_3895	Carub.0005s0147.1.p	AT2G02450.2	Aa31LG2G7660	CARHR145000.1	gene-TAV2_LOCUS6567
OG_3896	Carub.0005s2114.1.p	AT3G54520.1			gene-TAV2_LOCUS18203
OG_3897	Carub.0005s3006.1.p	AT3G63440.1	Aa31LG10G17290	CARHR291530.1	gene-TAV2_LOCUS16381
OG_3898	Carub.0005s2178.1.p	AT3G55140.1	Aa31LG10G10010	CARHR165170.1	gene-TAV2_LOCUS16158
OG_3899	Carub.0005s2348.1.p	AT3G56740.1		CARHR166870.1	gene-TAV2_LOCUS16313
OG_3900	Carub.0005s1848.1.p	AT3G52140.4	Aa31LG10G7230	CARHR161880.1	gene-TAV2_LOCUS16405
OG_3901	Carub.0006s2991.1.p Carub.0005s0479.1.p	AT3G26750.1	Aa31LG2G5790	CARHR147820.1	gene-TAV2_LOCUS7614
OG_3902	Carub.0005s2617.1.p	AT3G59430.6		CARHR169830.1	gene-TAV2_LOCUS17509
OG_3903	Carub.0005s0003.1.p	AT3G02010.1	Aa31LG5G11130	CARHR074950.1	gene-TAV2_LOCUS24081
OG_3904	Carub.0005s1800.1.p	AT3G51630.1		CARHR161230.1	gene-TAV2_LOCUS16554
OG_3905	Carub.0005s1672.1.p	AT3G50390.1		CARHR159900.1	gene-TAV2_LOCUS17235
OG_3906	Carub.0005s2723.1.p Carub.0201s0001.1.p Carub.0005s2841.1.p Carub.0007s2495.1.p Carub.0006s2574.1.p	AT3G60980.1		CARHR170900.1 CARHR170480.1 CARHR263970.1	
OG_3907	Carub.0005s2724.1.p			CARHR170890.1	
OG_3908	Carub.0005s1166.1.p	AT3G45810.1		CARHR154130.1	gene-TAV2_LOCUS17872
OG_3909	Carub.0005s1722.1.p	AT3G50840.1		CARHR160380.1	
OG_3910	Carub.0005s1349.1.p	AT3G47400.1	Aa31LG4G16210	CARHR156040.1	gene-TAV2_LOCUS15312
OG_3911	Carub.0003s0079.1.p Carub.0003s0080.1.p	AT3G01329.1 AT3G01324.1 AT3G27425.1 AT3G01323.1		CARHR075680.1 CARHR026590.1	gene-TAV2_LOCUS13008 gene-TAV2_LOCUS14766 gene-TAV2_LOCUS13010
OG_3912	Carub.0005s1184.1.p Carub.0005s1185.1.p Carub.0008s2240.1.p	AT2G25312.1 AT3G44428.1 AT3G45275.1 AT3G45285.1	Aa31LG4G14590 Aa31LG4G14580	CARHR179970.1 CARHR150620.1 CARHR026580.1 CARHR075660.1	gene-TAV2_LOCUS9176 gene-TAV2_LOCUS25531 gene-TAV2_LOCUS1093 gene-TAV2_LOCUS25490
OG_3913	Carub.0003s2828.1.p Carub.0002s0973.1.p Carub.0003s0077.1.p Carub.0003s0078.1.p Carub.0005s0579.1.p	AT3G01325.1 AT3G01331.1		CARHR068640.1	
OG_3914	Carub.0004s0132.1.p	AT2G22145.1 AT2G22155.1			gene-TAV2_LOCUS13501 gene-TAV2_LOCUS14514 gene-TAV2_LOCUS14515 gene-TAV2_LOCUS13502
OG_3915		AT3G01322.1 AT3G01327.1 AT3G01326.1 AT3G01328.1		CARHR075670.1	
OG_3916	Carub.0006s1316.1.p	AT5G14995.1 AT5G15000.1		CARHR198310.1	
OG_3917	Carub.0005s1111.1.p	AT3G45252.1		CARHR150660.1	
OG_3918	Carub.0005s1105.1.p	AT3G45243.1 AT3G45245.1		CARHR150670.1	
OG_3919	Carub.0005s0556.1.p	AT3G27290.1	Aa31LG2G5320	CARHR148570.1	gene-TAV2_LOCUS7340
OG_3920	Carub.0008s2745.1.p	AT5G67060.1	Aa31LG1G15580	CARHR280590.1	gene-TAV2_LOCUS6427
OG_3921	Carub.0005s1664.1.p	AT3G50330.1		CARHR159790.1	
OG_3922	Carub.0005s0300.1.p	AT2G03840.1	Aa31LG2G6900	CARHR146240.1	gene-TAV2_LOCUS5076
OG_3923	Carub.0005s0783.1.p	AT3G29100.3	Aa31LG2G4100	CARHR152300.1	gene-TAV2_LOCUS6364
OG_3924	Carub.0005s2948.1.p	AT3G62820.1	Aa31LG10G16560	CARHR173090.1	
OG_3925	Carub.0005s0861.1.p	AT3G30390.2	Aa31LG2G3700	CARHR153490.1	gene-TAV2_LOCUS7832
OG_3926		AT3G50760.1	Aa31LG4G18900	CARHR160270.1	
OG_3927	Carub.0005s1442.1.p	AT3G48250.1	Aa31LG4G16870	CARHR157010.1	gene-TAV2_LOCUS17503
OG_3928	Carub.0005s2421.1.p Carub.0001s3481.1.p	AT3G57360.1	Aa31LG1G13790 Aa31LG10G12210	CARHR167560.1	gene-TAV2_LOCUS16188 gene-TAV2_LOCUS18167
OG_3929	Carub.0005s0389.1.p	AT3G26040.1	Aa31LG2G6310	CARHR147030.1	
OG_3930	Carub.0005s2872.1.p	AT3G61960.1	Aa31LG10G15950	CARHR172320.1	gene-TAV2_LOCUS16583
OG_3931	Carub.0005s2267.1.p	AT3G55920.1	Aa31LG10G10860	CARHR166010.1	gene-TAV2_LOCUS16247
OG_3932	Carub.0005s2829.1.p	AT3G61600.1	Aa31LG10G15400	CARHR171910.1	gene-TAV2_LOCUS16273
OG_3933	Carub.0005s2580.1.p	AT3G59040.2	Aa31LG10G13530	CARHR169450.1	gene-TAV2_LOCUS17762
OG_3934	Carub.0005s1616.1.p	AT3G49810.1		CARHR158880.1	
OG_3935	Carub.0005s1143.1.p Carub.0005s2941.1.p Carub.0005s1142.1.p Carub.0005s1144.1.p Carub.0007s1300.1.p	AT4G27820.1 AT3G62740.1 AT4G27830.1 AT3G62750.2	Aa31LG10G16600 Aa31LG10G16630	CARHR052460.1 CARHR173010.1 CARHR173020.1 CARHR173030.1	gene-TAV2_LOCUS17269
OG_3936		AT4G27840.1		CARHR235550.1	gene-TAV2_LOCUS24587
OG_3937	Carub.0004s1780.1.p Carub.0005s1897.1.p	AT2G36060.2	Aa31LG5G21210	CARHR162340.1	gene-TAV2_LOCUS17986
OG_3938	Carub.0005s2388.1.p	AT3G57070.1	Aa31LG10G12000	CARHR167270.1	
OG_3939	Carub.0005s2501.1.p	AT3G58160.1	Aa31LG10G12880	CARHR168530.1	gene-TAV2_LOCUS16870
OG_3940	Carub.0005s1487.1.p			CARHR157320.1	
OG_3941	Carub.0005s0070.1.p	AT2G01750.2	Aa31LG2G8140	CARHR144320.1	gene-TAV2_LOCUS6121
OG_3942	Carub.0005s2396.1.p	AT3G57150.1	Aa31LG10G12050	CARHR167330.1	gene-TAV2_LOCUS18325 gene-TAV2_LOCUS1335 gene-TAV2_LOCUS1337
OG_3943	Carub.0005s0554.1.p	AT3G27280.2			gene-TAV2_LOCUS7338
OG_3944	Carub.0005s2248.1.p Carub.0005s2249.1.p Carub.0005s2250.1.p Carub.0005s2247.1.p	AT3G55700.1 AT3G55710.1	Aa31LG10G10700	CARHR165810.1 CARHR165800.1	gene-TAV2_LOCUS17516
OG_3945	Carub.0005s3010.1.p	AT3G63490.1	Aa31LG10G17360	CARHR291480.1	gene-TAV2_LOCUS16829
OG_3946	Carub.0001s3137.1.p Carub.0001s3136.1.p Carub.0001s3134.1.p Carub.0001s3135.1.p	AT1G33110.1 AT1G33100.1 AT1G33090.1 AT1G33080.1	Aa31LG6G7630 Aa31LG6G7650 Aa31LG6G7660 Aa31LG6G7680 Aa31LG6G7670 Aa31LG6G7690 Aa31LG7G10610 Aa31LG10G9990 Aa31LG1G13860	CARHR032400.1 CARHR032430.1 CARHR032470.1	gene-TAV2_LOCUS2403 gene-TAV2_LOCUS2400
OG_3947	Carub.0006s1919.1.p	AT5G20900.1	Aa31LG4G13350	CARHR191950.1	gene-TAV2_LOCUS19800
OG_3948	Carub.0005s0646.1.p Carub.0005s0645.1.p Carub.0005s0644.1.p	AT3G27890.1	Aa31LG2G4850	CARHR149400.1	gene-TAV2_LOCUS8090
OG_3949	Carub.0005s2424.1.p	AT3G57400.1 AT5G52500.1	Aa31LG10G12240	CARHR167600.1	
OG_3950	Carub.0005s0872.1.p		Aa31sc104G20		gene-TAV2_LOCUS7835
OG_3951	Carub.0005s0628.1.p	AT3G27730.2	Aa31LG2G4950	CARHR149190.1	gene-TAV2_LOCUS6400
OG_3952	Carub.0007s0463.1.p	AT4G35660.1	Aa31LG6G12630	CARHR244010.1	gene-TAV2_LOCUS25241
OG_3953	Carub.0007s0461.1.p Carub.0005s1779.1.p	AT4G35680.1 AT3G51410.1	Aa31LG8G14940	CARHR161010.1	
OG_3954	Carub.0005s0369.1.p	AT3G25860.1	Aa31LG2G6500	CARHR146820.1	gene-TAV2_LOCUS8068
OG_3955	Carub.0005s2954.1.p	AT3G62900.2	Aa31LG10G16680	CARHR173180.1	gene-TAV2_LOCUS16131
OG_3956	Carub.0005s1287.1.p	AT3G46600.1	Aa31LG4G15610	CARHR155210.1	
OG_3957	Carub.0005s2132.1.p	AT3G54720.1	Aa31sc392G10	CARHR164640.1 CARHR164650.1	gene-TAV2_LOCUS17753
OG_3958	Carub.0008s2118.1.p	AT5G60490.1	Aa31LG1G12500	CARHR274160.1	gene-TAV2_LOCUS21651 gene-TAV2_LOCUS22334
OG_3959	Carub.0005s2765.1.p	AT3G60900.1	Aa31LG10G15120	CARHR171290.1	
OG_3960	Carub.0005s2818.1.p	AT3G61490.4	Aa31LG10G15490	CARHR171830.1	gene-TAV2_LOCUS18238
OG_3961	Carub.0005s1879.1.p	AT5G60220.1		CARHR273900.1	gene-TAV2_LOCUS21286
OG_3962	Carub.0005s0080.1.p	AT2G01830.2	Aa31LG2G8070	CARHR144390.1	gene-TAV2_LOCUS8138
OG_3963	Carub.0005s2828.1.p	AT4G10660.1 AT4G10695.1 AT4G10700.1 AT3G61590.4	Aa31LG10G15410	CARHR171900.1 CARHR253830.1	gene-TAV2_LOCUS7290
OG_3964	Carub.0005s0131.1.p Carub.0005s0130.1.p Carub.0005s0134.1.p	AT2G02240.1 AT2G02250.1		CARHR144920.1	gene-TAV2_LOCUS7748
OG_3965	Carub.0005s0599.1.p	AT3G27560.1	Aa31LG2G5100	CARHR148940.1	gene-TAV2_LOCUS7715
OG_3966	Carub.0005s0802.1.p	AT3G29310.1	Aa31LG2G3970	CARHR154030.1	gene-TAV2_LOCUS5165
OG_3967	Carub.0005s1476.1.p	AT3G48570.1	Aa31LG4G17190	CARHR157370.1	gene-TAV2_LOCUS16082
OG_3968	Carub.0005s1569.1.p	AT3G49380.1		CARHR158350.1	gene-TAV2_LOCUS16560
OG_3969	Carub.0005s2505.1.p	AT3G58190.1	Aa31LG10G12910	CARHR168570.1	gene-TAV2_LOCUS16867
OG_3970	Carub.0005s1646.1.p	AT3G50120.1	Aa31LG4G18480	CARHR159180.1	
OG_3971	Carub.0005s1410.1.p	AT3G47990.1	Aa31LG4G16630	CARHR156710.1	gene-TAV2_LOCUS15964
OG_3972	Carub.0003s1079.1.p Carub.0005s0168.1.p	AT3G11470.1 AT2G02765.1	Aa31LG3G4790 Aa31LG3G4830	CARHR145210.1 CARHR086010.1	gene-TAV2_LOCUS10203
OG_3973	Carub.0001s3009.1.p	AT1G31790.1	Aa31LG9G15710	CARHR031090.1	gene-TAV2_LOCUS219
OG_3974	Carub.0005s1173.1.p	AT3G45880.1	Aa31LG9G15710	CARHR154210.1	gene-TAV2_LOCUS16499
OG_3975	Carub.0005s2173.1.p	AT3G55100.1	Aa31LG10G10050	CARHR165120.1	gene-TAV2_LOCUS16154
OG_3976	Carub.0005s2085.1.p	AT3G54260.1	Aa31sc392G20	CARHR164180.1	gene-TAV2_LOCUS18008
OG_3977	Carub.0007s3493.1.p Carub.0001s3411.1.p Carub.0001s4156.1.p Carub.0007s3000.1.p Carub.0003s2251.1.p Carub.0007s1913.1.p Carub.0007s1928.1.p Carub.0003s0112.1.p Carub.0007s3024.1.p Carub.0002s2025.1.p Carub.0008s0080.1.p Carub.0007s1850.1.p Carub.0006s1237.1.p Carub.0007s2121.1.p Carub.0004s0068.1.p Carub.0007s1914.1.p Carub.0007s1930.1.p Carub.0007s1915.1.p Carub.0004s1465.1.p	AT5G14160.1 AT3G03726.1 AT3G22337.1 AT3G03730.1 AT4G12820.1 AT4G12810.1 AT3G22345.1 AT3G22333.1 AT1G67160.1 AT4G17565.1 AT2G05970.1 AT4G22035.1 AT4G22660.1 AT4G22170.1 AT4G22180.1 AT1G69090.1 AT5G66830.1 AT4G22060.1 AT4G22165.1 AT4G14165.1	Aa31LG7G13420 Aa31LG7G13070 Aa31LG7G12950 Aa31LG7G13410 Aa31LG7G13500 Aa31LG7G13470 Aa31LG7G13450 Aa31LG7G13440 Aa31LG5G4870 Aa31LG7G14290 Aa31LG7G13460 Aa31LG7G13480	CARHR228860.1 CARHR229070.1 CARHR229580.1 CARHR061990.1 CARHR052950.1 CARHR098250.1 CARHR052960.1 CARHR229050.1 CARHR229110.1 CARHR062010.1 CARHR229010.1 CARHR283650.1 CARHR229020.1 CARHR072250.1 CARHR076060.1 CARHR199170.1 CARHR098240.1 CARHR229040.1 CARHR229730.1 CARHR061980.1 CARHR224270.1 CARHR229030.1	gene-TAV2_LOCUS24046 gene-TAV2_LOCUS11479 gene-TAV2_LOCUS25551 gene-TAV2_LOCUS24047 gene-TAV2_LOCUS6685 gene-TAV2_LOCUS24834 gene-TAV2_LOCUS24044 gene-TAV2_LOCUS24833 gene-TAV2_LOCUS24835 gene-TAV2_LOCUS9656 gene-TAV2_LOCUS7212 gene-TAV2_LOCUS6035 gene-TAV2_LOCUS6036 gene-TAV2_LOCUS11478 gene-TAV2_LOCUS24836 gene-TAV2_LOCUS22537
OG_3978	Carub.0006s2757.1.p	AT4G08980.2	Aa31LG9G14660	CARHR259990.1	
OG_3979	Carub.0003s2701.1.p Carub.0001s2608.1.p Carub.0001s2909.1.p Carub.0006s2311.1.p Carub.0003s2688.1.p Carub.0006s2740.1.p Carub.0006s2739.1.p Carub.0003s2846.1.p Carub.0005s2471.1.p	AT2G24080.1 AT5G25300.1 AT2G14500.1 AT1G27580.1 AT1G27540.3 AT5G25290.1 AT2G14290.1		CARHR188170.1 CARHR103960.1 CARHR253270.1 CARHR188180.1 CARHR046250.1 CARHR174970.1 CARHR000040.1	gene-TAV2_LOCUS287
OG_3980	Carub.0005s0756.1.p	AT1G10110.1		CARHR009060.1	
OG_3981	Carub.0001s1850.1.p	AT1G18850.1	Aa31LG7G3620 Aa31sc2735G10 Aa31LG9G8990	CARHR019500.1	gene-TAV2_LOCUS2360
OG_3982	Carub.0002s1206.1.p Carub.0006s3340.1.p Carub.0007s2914.1.p Carub.0006s3337.1.p Carub.0006s3341.1.p Carub.0006s3342.1.p Carub.0006s3338.1.p Carub.0002s1203.1.p Carub.0006s3339.1.p Carub.0007s3450.1.p Carub.0002s1205.1.p	AT4G03625.1 AT4G05460.1 AT4G05470.1 AT4G05490.1 AT5G52480.1 AT4G05475.1 AT4G05497.1 AT4G03630.1	Aa31LG9G9090 Aa31LG9G8900 Aa31LG9G8910 Aa31LG9G9040 Aa31LG9G9070 Aa31LG9G8930 Aa31LG9G9120 Aa31LG9G8940 Aa31LG9G8950 Aa31LG9G8920 Aa31LG9G9010 Aa31LG9G9050 Aa31LG9G9080 Aa31LG9G9100 Aa31LG9G9000	CARHR252080.1 CARHR252090.1 CARHR252050.1 CARHR252060.1 CARHR252070.1 CARHR252130.1 CARHR252100.1 CARHR252110.1	gene-TAV2_LOCUS21273
OG_3983	Carub.0004s0814.1.p Carub.0001s0234.1.p	AT1G03230.1 AT1G03220.1	Aa31LG1G9310 Aa31LG1G9320 Aa31LG1G9330	CARHR002340.1	gene-TAV2_LOCUS989
OG_3984	Carub.0008s1843.1.p	AT5G57900.1	Aa31LG3G13720	CARHR271670.1	gene-TAV2_LOCUS20544
OG_3985	Carub.0005s0272.1.p Carub.0004s1462.1.p Carub.0005s1945.1.p Carub.0004s1463.1.p Carub.0005s0747.1.p Carub.0003s2642.1.p Carub.0004s1464.1.p	AT2G04830.1 AT5G38270.1 AT2G04810.1 AT2G33190.1 AT2G04840.1 AT2G03560.1 AT2G33200.1		CARHR102800.1 CARHR102810.1 CARHR102820.1 CARHR103310.1 CARHR145910.1 CARHR145900.1 CARHR145930.1 CARHR127190.1 CARHR127170.1	gene-TAV2_LOCUS12418 gene-TAV2_LOCUS5575 gene-TAV2_LOCUS10591 gene-TAV2_LOCUS13173 gene-TAV2_LOCUS13174 gene-TAV2_LOCUS7582
OG_3986	Carub.0005s1013.1.p Carub.0005s1014.1.p		Aa31LG2G19840 Aa31sc1432G10 Aa31LG2G19790 Aa31LG2G19800 Aa31LG2G19850 Aa31LG2G19860		gene-TAV2_LOCUS23010
OG_3987	Carub.0005s1623.1.p	AT3G49870.1		CARHR158950.1	gene-TAV2_LOCUS15985
OG_3988	Carub.0005s1699.1.p	AT3G50660.1	Aa31LG4G18830	CARHR160170.1	gene-TAV2_LOCUS15235
OG_3989	Carub.0005s1172.1.p	AT3G45870.1	Aa31LG9G15720	CARHR154200.1	gene-TAV2_LOCUS16498
OG_3990	Carub.0005s2637.1.p	AT3G59650.2	Aa31LG10G13940	CARHR170020.1	gene-TAV2_LOCUS15177
OG_3991	Carub.0005s0291.1.p Carub.0005s0290.1.p	AT2G03760.1	Aa31sc50G100 Aa31LG2G6940	CARHR038810.1 CARHR146170.1 CARHR146510.1	gene-TAV2_LOCUS5071
OG_3992	Carub.0005s0914.1.p	AT3G43270.1	Aa31LG4G12940	CARHR054440.1	gene-TAV2_LOCUS16923 gene-TAV2_LOCUS17863
OG_3993	Carub.0005s2651.1.p	AT3G59790.1			
OG_3994	Carub.0005s2883.1.p	AT3G62080.2	Aa31LG10G640	CARHR172420.1	gene-TAV2_LOCUS15368
OG_3995	Carub.0005s0007.1.p	AT2G01080.1	Aa31LG2G8800	CARHR143630.1	gene-TAV2_LOCUS5564
OG_3996	Carub.0005s0539.1.p	AT3G27160.2	Aa31LG2G5470	CARHR148360.1	gene-TAV2_LOCUS6191
OG_3997	Carub.0005s0625.1.p	AT3G27700.1	Aa31LG2G4980	CARHR149170.1	gene-TAV2_LOCUS5701
OG_3998	Carub.0005s2240.1.p	AT3G55860.1			
OG_3999	Carub.0005s2536.1.p	AT3G58600.1	Aa31LG10G13170	CARHR168990.1	gene-TAV2_LOCUS17309
OG_4000	Carub.0005s1460.1.p	AT3G48430.1	Aa31LG4G17010	CARHR157180.1 CARHR157190.1	gene-TAV2_LOCUS16669 gene-TAV2_LOCUS16668
OG_4001	Carub.0005s0041.1.p	AT2G01450.1	Aa31LG2G8480	CARHR143970.1	gene-TAV2_LOCUS5893
OG_4002	Carub.0005s2866.1.p	AT3G61900.1		CARHR172260.1	gene-TAV2_LOCUS16584
OG_4003	Carub.0005s1686.1.p	AT3G50530.2	Aa31LG4G18710	CARHR160030.1	gene-TAV2_LOCUS15233
OG_4004	Carub.0005s2332.1.p	AT3G56580.1	Aa31LG10G11400	CARHR166690.1	gene-TAV2_LOCUS17478
OG_4005	Carub.0005s0795.1.p	AT3G29240.2	Aa31LG2G4010	CARHR153900.1	gene-TAV2_LOCUS6370
OG_4006	Carub.0005s0233.1.p	AT2G03350.1	Aa31LG2G7190	CARHR145700.1	gene-TAV2_LOCUS6242
OG_4007	Carub.0005s2962.1.p	AT3G62970.1		CARHR173260.1	gene-TAV2_LOCUS16710
OG_4008	Carub.0005s2998.1.p	AT3G63340.2	Aa31LG10G17170	CARHR291630.1	gene-TAV2_LOCUS16775
OG_4009	Carub.0005s0748.1.p	AT3G28920.1	Aa31LG2G4280	CARHR151960.1	
OG_4010	Carub.0005s2608.1.p		Aa31LG10G13680	CARHR169730.1	gene-TAV2_LOCUS17511
OG_4011	Carub.0005s2830.1.p	AT3G61610.1	Aa31LG10G15390	CARHR171920.1	gene-TAV2_LOCUS16274
OG_4012	Carub.0005s2503.1.p	AT3G58180.1	Aa31LG10G12900	CARHR168560.1	gene-TAV2_LOCUS16869
OG_4013	Carub.0005s2286.1.p	AT3G56110.1	Aa31LG10G11020	CARHR166260.1	
OG_4014	Carub.0004s2533.1.p Carub.0005s0311.1.p	AT2G03930.2		CARHR146300.1	gene-TAV2_LOCUS13827 gene-TAV2_LOCUS13828
OG_4015	Carub.0006s1014.1.p Carub.0004s1576.1.p			CARHR158020.1	
OG_4016	Carub.0005s1439.1.p	AT3G48230.1		CARHR078460.1	
OG_4017	Carub.0005s2316.1.p	AT3G56380.2	Aa31LG10G11270		gene-TAV2_LOCUS16358
OG_4018	Carub.0005s1603.1.p	AT3G49680.1	Aa31LG1G16290	CARHR158750.1	gene-TAV2_LOCUS15930
OG_4019	Carub.0005s0908.1.p Carub.0005s0913.1.p Carub.0005s0912.1.p	AT2G32050.1 AT3G43250.1		CARHR267110.1	gene-TAV2_LOCUS14011
OG_4020	Carub.0005s1994.1.p	AT3G53390.1	Aa31LG5G22460 Aa31LG5G22480 Aa31LG5G22470	CARHR163270.1 CARHR163280.1	gene-TAV2_LOCUS16416
OG_4021	Carub.0005s1604.1.p	AT3G49690.1	Aa31LG4G18170	CARHR158760.1	gene-TAV2_LOCUS17947
OG_4022	Carub.0005s0685.1.p	AT3G28345.1	Aa31LG2G4680	CARHR292620.1	gene-TAV2_LOCUS7197
OG_4023	Carub.0005s2658.1.p	AT3G59850.2	Aa31LG10G14090	CARHR170200.1	gene-TAV2_LOCUS15995 gene-TAV2_LOCUS15996
OG_4024	Carub.0005s0857.1.p	AT3G30300.2	Aa31LG2G3730	CARHR153340.1	gene-TAV2_LOCUS5915
OG_4025	Carub.0005s1419.1.p	AT3G48090.1 AT3G48080.1	Aa31LG4G16710	CARHR156810.1 CARHR156820.1	
OG_4026	Carub.0005s2657.1.p	AT3G59845.1		CARHR170190.1	gene-TAV2_LOCUS13786 gene-TAV2_LOCUS15993
OG_4027	Carub.0005s1928.1.p	AT3G52800.2	Aa31LG10G8070	CARHR162680.1	gene-TAV2_LOCUS26212
OG_4028	Carub.0005s1748.1.p	AT3G51080.1		CARHR160660.1	gene-TAV2_LOCUS15338
OG_4029	Carub.0005s1058.1.p	AT3G44830.1	Aa31LG4G14250	CARHR151210.1	gene-TAV2_LOCUS15741 gene-TAV2_LOCUS15743
OG_4030		AT3G47740.1	Aa31LG4G16430	CARHR156420.1	gene-TAV2_LOCUS17085
OG_4031	Carub.0005s1387.1.p Carub.0005s1388.1.p	AT3G47760.3 AT3G47750.1 AT3G47770.2		CARHR156430.1 CARHR156440.1 CARHR156450.1	gene-TAV2_LOCUS17087 gene-TAV2_LOCUS17082
OG_4032	Carub.0005s2803.1.p	AT3G61360.1	Aa31LG1G27890 Aa31LG9G15670	CARHR171700.1	
OG_4033	Carub.0005s0117.1.p	AT2G02130.1	Aa31LG2G7830	CARHR144780.1	
OG_4034	Carub.0005s2900.1.p	AT3G62280.1	Aa31LG10G16220	CARHR172620.1	gene-TAV2_LOCUS17845
OG_4035	Carub.0003s3378.1.p	AT2G19490.1	Aa31LG8G16510	CARHR109930.1	gene-TAV2_LOCUS8947
OG_4036	Carub.0001s2808.1.p Carub.0005s1368.1.p Carub.0005s1365.1.p	AT1G29840.1 AT3G47590.1 AT3G47560.2	Aa31LG8G16510	CARHR156190.1 CARHR156250.1	gene-TAV2_LOCUS16176
OG_4037	Carub.0005s2733.1.p	AT3G60590.3	Aa31LG10G14870	CARHR171000.1	gene-TAV2_LOCUS16401
OG_4038	Carub.0005s0125.1.p Carub.0005s0150.1.p Carub.0005s0126.1.p	AT2G02490.1 AT2G02498.1 AT2G02515.1 AT2G19802.1		CARHR145050.1	
OG_4039	Carub.0005s0151.1.p	AT2G02525.1			
OG_4040	Carub.0005s1974.1.p	AT3G53210.1		CARHR163090.1	
OG_4041	Carub.0005s3009.1.p	AT3G63480.1	Aa31LG10G17350	CARHR291490.1	gene-TAV2_LOCUS16384
OG_4042	Carub.0005s1480.1.p	AT3G48660.1	Aa31LG4G17230	CARHR157410.1	
OG_4043	Carub.0005s0713.1.p Carub.0005s0707.1.p	AT3G28520.1 AT3G28540.1		CARHR286750.1 CARHR286770.1	gene-TAV2_LOCUS6022 gene-TAV2_LOCUS6020
OG_4044	Carub.0005s0352.1.p	AT3G25700.1	Aa31LG2G6610	CARHR288560.1	gene-TAV2_LOCUS5255
OG_4045	Carub.0007s1819.1.p Carub.0005s0386.1.p Carub.0007s1889.1.p	AT3G26010.1 AT4G22430.1		CARHR147000.1 CARHR025250.1 CARHR229330.1 CARHR229890.1	gene-TAV2_LOCUS22692 gene-TAV2_LOCUS23437
OG_4046	Carub.0006s3248.1.p Carub.0006s2838.1.p Carub.0003s2455.1.p Carub.0003s2456.1.p	AT3G23970.1 AT3G23950.1	Aa31sc58G10 Aa31LG9G5850 Aa31sc58G40	CARHR033580.1 CARHR033590.1 CARHR033610.1 CARHR100270.1 CARHR100280.1 CARHR100310.1 CARHR288580.1 CARHR288610.1 CARHR288590.1 CARHR288600.1	gene-TAV2_LOCUS10061 gene-TAV2_LOCUS10066
OG_4047	Carub.0008s0568.1.p Carub.0005s0676.1.p Carub.0005s0675.1.p	AT3G28280.1		CARHR149600.1 CARHR292690.1	
