group_id	Aar.fa	Ath.fa	Chi.fa	Cru.fa	Tar.fa
7900	Aa31LG3G18530	AT5G07990.1	CARHR205200.1	Carub.0006s0687.1.p	gene-TAV2_LOCUS19921
7901	Aa31LG3G18560	AT5G07950.1	CARHR205240.1	Carub.0006s0685.1.p	gene-TAV2_LOCUS18587
7902	Aa31LG3G18570	AT5G07960.1	CARHR205230.1	Carub.0006s0686.1.p	gene-TAV2_LOCUS19923
7903	Aa31LG3G18590	AT5G07920.1	CARHR205280.1	Carub.0006s0681.1.p	gene-TAV2_LOCUS18584
7904	Aa31LG3G18600	AT5G07910.1	CARHR205290.1	Carub.0006s0680.1.p	gene-TAV2_LOCUS21828
7905	Aa31LG3G18630	AT5G07830.1	CARHR205350.1	Carub.0006s0675.1.p	gene-TAV2_LOCUS19319
7906	Aa31LG3G18640	AT5G07820.1	CARHR205360.1	Carub.0006s0674.1.p	gene-TAV2_LOCUS19318
7907	Aa31LG3G18650	AT5G07810.1	CARHR205370.1	Carub.0006s0673.1.p	gene-TAV2_LOCUS19321
7908	Aa31LG3G18660,Aa31LG3G18670	AT5G07800.1	CARHR205380.1	Carub.0006s0672.1.p	*
7909	Aa31LG3G18680	AT5G07790.1	CARHR205390.1	Carub.0006s0671.1.p	gene-TAV2_LOCUS19320
7910	Aa31LG3G18700	AT5G07740.2	CARHR205410.1	Carub.0006s0670.1.p	gene-TAV2_LOCUS19325
7911	Aa31LG3G18710	AT5G07730.1	CARHR205420.1	Carub.0006s0669.1.p	gene-TAV2_LOCUS19324
7912	Aa31LG3G18730	AT5G07710.1	CARHR205440.1	Carub.0006s0667.1.p	gene-TAV2_LOCUS19326
7913	Aa31LG3G18760	AT5G07690.1	CARHR205480.1	Carub.0006s0666.1.p	gene-TAV2_LOCUS20427
7914	Aa31LG3G18780	AT5G07670.1	CARHR205500.1	Carub.0006s0664.1.p	gene-TAV2_LOCUS21602
7915	Aa31LG3G18790	AT5G07630.1	CARHR205520.1	Carub.0006s0661.1.p	gene-TAV2_LOCUS21590
7916	Aa31LG3G18890	AT5G07530.1	CARHR205620.1	Carub.0006s0651.1.p	gene-TAV2_LOCUS20349
7917	Aa31LG3G18920	AT5G07480.1	CARHR205650.1	Carub.0006s0647.1.p	gene-TAV2_LOCUS20353
7918	Aa31LG3G18950	AT5G07440.1	CARHR205710.1	Carub.0006s0641.1.p	gene-TAV2_LOCUS20347
7919	Aa31LG3G18970	AT5G07400.1	CARHR205750.1	Carub.0006s0637.1.p	gene-TAV2_LOCUS21225
7920	Aa31LG3G18980	AT5G07390.1	CARHR205760.1	Carub.0006s0636.1.p	gene-TAV2_LOCUS18914
7921	Aa31LG3G18990	AT5G07380.3	CARHR205770.1	Carub.0006s0635.1.p	gene-TAV2_LOCUS18913
7922	Aa31LG3G19010	AT5G07360.1	CARHR205790.1	Carub.0006s0633.1.p	gene-TAV2_LOCUS18912
7923	Aa31LG3G19020	AT5G07350.2	CARHR205800.1	Carub.0006s0632.1.p	gene-TAV2_LOCUS21224
7924	Aa31LG3G19030	AT5G07340.2	CARHR205810.1	Carub.0006s0631.1.p	gene-TAV2_LOCUS18920
7925	Aa31LG3G19040	AT5G07330.1	CARHR205820.1	Carub.0006s0630.1.p	gene-TAV2_LOCUS18919
7926	Aa31LG3G19060	AT5G07310.1	CARHR205840.1	Carub.0006s0627.1.p	gene-TAV2_LOCUS18872
7927	Aa31LG3G19070	AT5G07300.1	CARHR205850.1	Carub.0006s0626.1.p	gene-TAV2_LOCUS18875
7928	Aa31LG3G19080	AT5G07290.1	CARHR205860.1	Carub.0006s0625.1.p	gene-TAV2_LOCUS18876
7929	Aa31LG3G19110	AT5G07270.1	CARHR205880.1	Carub.0006s0623.1.p	gene-TAV2_LOCUS18873
7930	Aa31LG3G19120	AT5G07250.1	CARHR205890.1	Carub.0006s0621.1.p	gene-TAV2_LOCUS18874
7931	Aa31LG3G19130	AT5G07240.2	CARHR205900.1	Carub.0006s0620.1.p	gene-TAV2_LOCUS21147
7932	Aa31LG3G19140	AT5G62090.1	CARHR275880.1	Carub.0008s2277.1.p	gene-TAV2_LOCUS6659
7933	Aa31LG3G19150	AT5G07220.1	CARHR205920.1	Carub.0006s0615.1.p	gene-TAV2_LOCUS18548
7934	Aa31LG3G19170	AT5G62200.1	CARHR275990.1	Carub.0008s2289.1.p	gene-TAV2_LOCUS6662
7935	Aa31LG3G19180	AT5G07170.1	CARHR205980.1	Carub.0006s0610.1.p	gene-TAV2_LOCUS20217
7936	Aa31LG4G10	AT1G79820.2	CARHR074770.1	Carub.0002s2768.1.p	gene-TAV2_LOCUS17162
7937	Aa31LG4G20	AT1G79810.1	CARHR074760.1	Carub.0002s2769.1.p	gene-TAV2_LOCUS17159
7938	Aa31LG4G40	AT1G79790.2	CARHR049030.1	Carub.0002s2772.1.p	gene-TAV2_LOCUS17484
7939	Aa31LG4G70	AT1G79760.2	CARHR262750.1	Carub.0002s2775.1.p	gene-TAV2_LOCUS17171
7940	Aa31LG4G80	AT1G79750.1	CARHR074690.1	Carub.0002s2776.1.p	gene-TAV2_LOCUS18213
7941	Aa31LG4G90	AT1G79730.1	CARHR074670.1	Carub.0002s2777.1.p	gene-TAV2_LOCUS16806
7942	Aa31LG4G110	AT1G79830.4	CARHR143590.1	Carub.0002s2767.1.p	gene-TAV2_LOCUS17161
7943	Aa31LG4G120	AT1G79840.2	CARHR074650.1	Carub.0002s2766.1.p	gene-TAV2_LOCUS17050
7944	Aa31LG4G130	AT1G79850.1	CARHR074660.1	Carub.0002s2765.1.p	gene-TAV2_LOCUS17049
7945	Aa31LG4G140	AT1G79860.1	CARHR074630.1	Carub.0002s2764.1.p	gene-TAV2_LOCUS15874
7946	Aa31LG4G160	AT1G79870.1	CARHR074620.1	Carub.0002s2763.1.p	gene-TAV2_LOCUS15875
7947	Aa31LG4G180	AT1G79890.1	CARHR074600.1	Carub.0002s2761.1.p	gene-TAV2_LOCUS15876
7948	Aa31LG4G190	AT1G79900.1	CARHR074590.1	Carub.0002s2760.1.p	gene-TAV2_LOCUS15877
7949	Aa31LG4G210	AT5G55280.1	CARHR268640.1	Carub.0008s1561.1.p	gene-TAV2_LOCUS20099
7950	Aa31LG4G230	AT1G79915.1	CARHR074570.1	Carub.0002s2758.1.p	gene-TAV2_LOCUS15878
7951	Aa31LG4G250	AT1G79940.2	CARHR074540.1	Carub.0002s2756.1.p	gene-TAV2_LOCUS15880
7952	Aa31LG4G260	AT1G79950.1	CARHR074520.1	Carub.0002s2755.1.p	gene-TAV2_LOCUS15881
7953	Aa31LG4G290	AT1G79990.1	CARHR074490.1	Carub.0002s2752.1.p	gene-TAV2_LOCUS15762
7954	Aa31LG4G300	AT1G80010.1	CARHR074470.1	Carub.0002s2750.1.p	gene-TAV2_LOCUS15760
7955	Aa31LG4G310	AT1G80030.2	CARHR074450.1	Carub.0002s2749.1.p	gene-TAV2_LOCUS15758
7956	Aa31LG4G320,Aa31LG4G1160	AT1G80040.1	CARHR074440.1	Carub.0002s2748.1.p	*
7957	Aa31LG4G370	AT1G80090.1	CARHR074410.1	Carub.0002s2743.1.p	gene-TAV2_LOCUS17867
7958	Aa31LG4G380	AT1G80100.3	CARHR074400.1	Carub.0002s2742.1.p	gene-TAV2_LOCUS17550
7959	Aa31LG4G390	AT1G80110.1	CARHR074390.1	Carub.0002s2741.1.p	gene-TAV2_LOCUS17548
7960	Aa31LG4G400	AT1G80120.1	CARHR074380.1	Carub.0002s2740.1.p	gene-TAV2_LOCUS17549
7961	Aa31LG4G410	AT1G15340.1	CARHR015870.1	Carub.0001s1509.1.p	gene-TAV2_LOCUS667
7962	Aa31LG4G420	AT1G80130.1	CARHR074370.1	Carub.0002s2739.1.p	gene-TAV2_LOCUS17553
7963	Aa31LG4G430	AT1G15370.1	CARHR015900.1	Carub.0001s1514.1.p	gene-TAV2_LOCUS736
7964	Aa31LG4G450	AT1G80160.3	CARHR074320.1	Carub.0002s2735.1.p	gene-TAV2_LOCUS17552
7965	Aa31LG4G460	AT1G80170.1	CARHR074310.1	Carub.0005s0105.1.p	gene-TAV2_LOCUS16635
7966	Aa31LG4G490	AT1G80200.2	CARHR074280.1	Carub.0002s2732.1.p	gene-TAV2_LOCUS15400
7967	Aa31LG4G510	AT1G15430.2	CARHR015990.1	Carub.0001s1523.1.p	gene-TAV2_LOCUS3382
7968	Aa31LG4G530	AT1G80240.1	CARHR074250.1	Carub.0002s2730.1.p	gene-TAV2_LOCUS15401
7969	Aa31LG4G560	AT1G80280.1	CARHR074210.1	Carub.0002s2728.1.p	gene-TAV2_LOCUS15402
7970	Aa31LG4G620	AT1G80350.1	CARHR074160.1	Carub.0002s2722.1.p	gene-TAV2_LOCUS17667
7971	Aa31LG4G630	AT1G80360.2	CARHR074150.1	Carub.0002s2721.1.p	gene-TAV2_LOCUS17666
7972	Aa31LG4G640	AT1G80370.1	CARHR074140.1	Carub.0002s2720.1.p	gene-TAV2_LOCUS17665
7973	Aa31LG4G650	AT1G80380.2	CARHR074130.1	Carub.0002s2719.1.p	gene-TAV2_LOCUS17671
7974	Aa31LG4G660	AT1G80390.1	CARHR074120.1	Carub.0002s2718.1.p	gene-TAV2_LOCUS17670
7975	Aa31LG4G670	AT1G80400.1	CARHR074840.1	Carub.0002s2717.1.p	gene-TAV2_LOCUS17669
7976	Aa31LG4G720	AT1G80460.1	CARHR074790.1	Carub.0002s2712.1.p	gene-TAV2_LOCUS17672
7977	Aa31LG4G740	AT5G51280.1	CARHR073980.1	Carub.0002s2709.1.p	gene-TAV2_LOCUS15231
7978	Aa31LG4G750	AT1G80480.1	CARHR074000.1	Carub.0002s2708.1.p	gene-TAV2_LOCUS15227
7979	Aa31LG4G760	AT1G80490.2	CARHR074010.1	Carub.0002s2707.1.p	gene-TAV2_LOCUS15490
7980	Aa31LG4G790	AT1G80530.1	CARHR074050.1	Carub.0002s2703.1.p	gene-TAV2_LOCUS15228
7981	Aa31LG4G800	AT1G15780.2	CARHR016270.1	Carub.0001s1558.1.p	gene-TAV2_LOCUS364
7982	Aa31LG4G810	AT1G80540.1	CARHR074060.1	Carub.0002s2702.1.p	gene-TAV2_LOCUS15229
7983	Aa31LG4G840	AT2G26000.3	CARHR125340.1	Carub.0002s2698.1.p	gene-TAV2_LOCUS15232
7984	Aa31LG4G870	AT1G80600.1	CARHR073920.1	Carub.0002s2695.1.p	gene-TAV2_LOCUS18305
7985	Aa31LG4G900	AT1G80620.1	CARHR073900.1	Carub.0002s2693.1.p	gene-TAV2_LOCUS18304
7986	Aa31LG4G920	AT1G80640.1	CARHR073880.1	Carub.0002s2692.1.p	gene-TAV2_LOCUS16880
7987	Aa31LG4G950	AT1G80670.1	CARHR073850.1	Carub.0002s2689.1.p	gene-TAV2_LOCUS15982
7988	Aa31LG4G970	AT1G80690.2	CARHR073820.1	Carub.0002s2686.1.p	gene-TAV2_LOCUS16881
7989	Aa31LG4G1010	AT1G80750.1	CARHR073730.1	Carub.0002s2679.1.p	gene-TAV2_LOCUS17923
7990	Aa31LG4G1020	AT1G80760.1	CARHR073740.1	Carub.0002s2678.1.p	gene-TAV2_LOCUS18010
7991	Aa31LG4G1030	AT1G80770.6	CARHR073710.1	Carub.0002s0078.1.p	gene-TAV2_LOCUS16690
7992	Aa31LG4G1040	AT1G80790.1	CARHR073690.1	Carub.0002s2675.1.p	gene-TAV2_LOCUS16072
7993	Aa31LG4G1070	AT1G80810.3	CARHR073670.1	Carub.0002s2674.1.p	gene-TAV2_LOCUS16069
7994	Aa31LG4G1080	AT1G80820.1	CARHR073650.1	Carub.0002s2673.1.p	gene-TAV2_LOCUS16068
7995	Aa31LG4G1100	AT1G80830.1	CARHR073640.1	Carub.0002s2672.1.p	gene-TAV2_LOCUS16067
7996	Aa31LG4G1110	AT1G80840.1	CARHR073630.1	Carub.0002s2670.1.p	gene-TAV2_LOCUS16065
7997	Aa31LG4G1120	AT1G80850.1	CARHR073620.1	Carub.0002s2669.1.p	gene-TAV2_LOCUS16064
7998	Aa31LG4G1140	AT1G80860.2	CARHR073610.1	Carub.0002s2668.1.p	gene-TAV2_LOCUS18079
7999	Aa31LG4G1180	AT1G80870.1	CARHR073600.1	Carub.0002s2666.1.p	gene-TAV2_LOCUS17198
8000	Aa31LG4G1220	AT1G80910.1	CARHR073550.1	Carub.0002s2663.1.p	gene-TAV2_LOCUS17201
8001	Aa31LG4G1230	AT1G80920.1	CARHR073560.1	Carub.0002s2662.1.p	gene-TAV2_LOCUS17202
8002	Aa31LG4G1250	AT1G80940.1	CARHR073510.1	Carub.0002s2660.1.p	gene-TAV2_LOCUS17204
8003	Aa31LG4G1270	AT1G79720.1	CARHR073490.1	Carub.0002s2658.1.p	gene-TAV2_LOCUS15647
8004	Aa31LG4G1280	AT1G79710.1	CARHR073480.1	Carub.0002s2657.1.p	gene-TAV2_LOCUS18080
8005	Aa31LG4G1290	AT1G79700.2	CARHR073470.1	Carub.0002s2656.1.p	gene-TAV2_LOCUS15216
8006	Aa31LG4G1300	AT1G79690.1	CARHR073460.1	Carub.0002s2655.1.p	gene-TAV2_LOCUS15215
8007	Aa31LG4G1320	AT1G79650.4	CARHR073380.1	Carub.0002s2653.1.p	gene-TAV2_LOCUS15212
8008	Aa31LG4G1330	AT1G79640.1	CARHR073370.1	Carub.0002s2652.1.p	gene-TAV2_LOCUS15649
8009	Aa31LG4G1350	AT1G79620.5	CARHR073350.1	Carub.0002s2650.1.p	gene-TAV2_LOCUS16438
8010	Aa31LG4G1360	AT1G79610.1	CARHR073340.1	Carub.0002s2649.1.p	gene-TAV2_LOCUS16374
8011	Aa31LG4G1370	AT1G79600.1	CARHR073330.1	Carub.0002s2648.1.p	gene-TAV2_LOCUS16436
8012	Aa31LG4G1390	AT1G79580.4	CARHR073310.1	Carub.0002s2646.1.p	gene-TAV2_LOCUS16435
8013	Aa31LG4G1400	*	CARHR037800.1,CARHR073240.1	Carub.0002s2645.1.p	gene-TAV2_LOCUS24234
8014	Aa31LG4G1420	AT1G79570.1	CARHR073230.1	Carub.0002s2643.1.p	gene-TAV2_LOCUS16432
8015	Aa31LG4G1430	AT1G79560.1	CARHR073220.1	Carub.0002s2642.1.p	gene-TAV2_LOCUS16439
8016	Aa31LG4G1480	AT1G79530.1	CARHR073200.1	Carub.0002s2639.1.p	gene-TAV2_LOCUS17595
8017	Aa31LG4G1490	AT1G79520.2	CARHR073180.1	Carub.0002s2638.1.p	gene-TAV2_LOCUS17594
8018	Aa31LG4G1500	AT1G79510.1	CARHR073170.1	Carub.0002s2637.1.p	gene-TAV2_LOCUS17593
8019	Aa31LG4G1540	AT1G79480.1	CARHR073140.1	Carub.0002s2634.1.p	gene-TAV2_LOCUS17038
8020	Aa31LG4G1570	AT1G79460.1	CARHR073120.1	Carub.0002s2632.1.p	gene-TAV2_LOCUS17597
8021	Aa31LG4G1580	AT1G79440.1	CARHR073100.1	Carub.0002s2630.1.p	gene-TAV2_LOCUS16063
8022	Aa31LG4G1590	AT1G79430.2	CARHR073090.1	Carub.0002s2629.1.p	gene-TAV2_LOCUS16062
8023	Aa31LG4G1600	AT1G79420.1	CARHR073080.1	Carub.0002s2628.1.p	gene-TAV2_LOCUS15660
8024	Aa31LG4G1630	AT1G79400.1	CARHR073060.1	Carub.0002s2626.1.p	gene-TAV2_LOCUS17747
8025	Aa31LG4G1650	AT1G79380.1	CARHR073030.1	Carub.0002s2624.1.p	gene-TAV2_LOCUS15659
8026	Aa31LG4G1670	AT1G79360.1	CARHR073020.1	Carub.0002s2622.1.p	gene-TAV2_LOCUS17745
8027	Aa31LG4G1680	AT1G79350.1	CARHR073010.1	Carub.0002s2621.1.p	gene-TAV2_LOCUS15692
8028	Aa31LG4G1710	AT1G79280.2	CARHR072950.1	Carub.0002s2615.1.p	gene-TAV2_LOCUS16860
8029	Aa31LG4G1720	AT1G79270.1	CARHR072940.1	Carub.0002s2614.1.p	gene-TAV2_LOCUS16861
8030	Aa31LG4G1810	AT1G79200.1	CARHR072850.1	Carub.0002s2607.1.p	gene-TAV2_LOCUS15675
8031	Aa31LG4G1820	AT1G79190.2	CARHR072840.1	Carub.0002s2606.1.p	gene-TAV2_LOCUS15674
8032	Aa31LG4G1840	AT1G79160.1	CARHR072810.1	Carub.0002s2603.1.p	gene-TAV2_LOCUS15672
8033	Aa31LG4G1850	AT1G79150.1	CARHR072800.1	Carub.0002s2602.1.p	gene-TAV2_LOCUS15671
8034	Aa31LG4G1880	AT1G79120.1	CARHR072780.1	Carub.0002s2599.1.p	gene-TAV2_LOCUS15679
8035	Aa31LG4G1890	AT1G79110.1	CARHR072770.1	Carub.0002s2597.1.p	gene-TAV2_LOCUS16054
8036	Aa31LG4G1910	AT1G79090.2	CARHR072760.1	Carub.0002s2596.1.p	gene-TAV2_LOCUS16052
8037	Aa31LG4G1920	AT1G79070.1	CARHR072740.1	Carub.0002s2594.1.p	gene-TAV2_LOCUS16053
8038	Aa31LG4G1940	AT1G79050.1	CARHR072710.1	Carub.0002s2592.1.p	gene-TAV2_LOCUS16050
8039	Aa31LG4G1950	AT1G79040.1	CARHR072720.1	Carub.0002s2591.1.p	gene-TAV2_LOCUS16051
8040	Aa31LG4G1960	AT1G79030.1	CARHR072700.1	Carub.0002s2590.1.p	gene-TAV2_LOCUS16048
8041	Aa31LG4G1970	AT1G79020.1	CARHR072690.1	Carub.0002s2589.1.p	gene-TAV2_LOCUS16049
8042	Aa31LG4G1980	AT1G79000.2	CARHR072670.1	Carub.0002s2587.1.p	gene-TAV2_LOCUS16046
8043	Aa31LG4G2000	AT1G78990.1	CARHR072650.1	Carub.0002s2585.1.p	gene-TAV2_LOCUS16047
8044	Aa31LG4G2010	AT1G78980.1	CARHR072640.1	Carub.0002s2584.1.p	gene-TAV2_LOCUS18004
8045	Aa31LG4G2050	AT1G78930.1	CARHR072540.1	Carub.0002s2578.1.p	gene-TAV2_LOCUS17999
8046	Aa31LG4G2060	AT1G78922.1	CARHR072530.1	Carub.0002s2577.1.p	gene-TAV2_LOCUS18002
8047	Aa31LG4G2080	AT1G78915.3	CARHR072510.1	Carub.0002s2575.1.p	gene-TAV2_LOCUS17998
8048	Aa31LG4G2090	AT1G78910.1	CARHR072500.1	Carub.0002s2574.1.p	gene-TAV2_LOCUS17997
8049	Aa31LG4G2100	AT1G78900.1	CARHR072490.1	Carub.0002s2573.1.p	gene-TAV2_LOCUS15289
8050	Aa31LG4G2110	AT1G78895.1	CARHR072480.1	Carub.0002s2572.1.p	gene-TAV2_LOCUS15290
8051	Aa31LG4G2130	AT1G78880.1	CARHR072460.1	Carub.0002s2570.1.p	gene-TAV2_LOCUS15291
8052	Aa31LG4G2160	AT3G10530.1	CARHR085050.1	Carub.0003s0977.1.p	gene-TAV2_LOCUS19029
8053	Aa31LG4G2200	AT1G78810.1	CARHR072360.1	Carub.0002s2563.1.p	gene-TAV2_LOCUS15285
8054	Aa31LG4G2240	AT1G78790.4	CARHR072340.1	Carub.0002s1493.1.p	gene-TAV2_LOCUS15288
8055	Aa31LG4G2250	AT1G78780.3	CARHR072320.1	Carub.0002s2561.1.p	gene-TAV2_LOCUS15283
8056	Aa31LG4G2260	AT1G78770.1	CARHR072310.1	Carub.0002s2560.1.p	gene-TAV2_LOCUS15284
8057	Aa31LG4G2280	AT1G78710.1	CARHR072240.1	Carub.0002s2557.1.p	gene-TAV2_LOCUS17302
8058	Aa31LG4G2290	AT1G78700.1	CARHR072230.1	Carub.0002s2556.1.p	gene-TAV2_LOCUS17386
8059	Aa31LG4G2300	AT1G78690.5	CARHR072220.1	Carub.0002s2555.1.p	gene-TAV2_LOCUS17301
8060	Aa31LG4G2310	AT1G78680.1	CARHR072210.1	Carub.0002s2554.1.p	gene-TAV2_LOCUS17389
8061	Aa31LG4G2320	AT1G78650.1	CARHR072180.1	Carub.0002s2550.1.p	gene-TAV2_LOCUS17306
8062	Aa31LG4G2330	AT1G78630.1	CARHR072150.1	Carub.0002s2548.1.p	gene-TAV2_LOCUS17305
8063	Aa31LG4G2340	AT1G78620.2	CARHR072140.1	Carub.0002s2547.1.p	gene-TAV2_LOCUS17304
8064	Aa31LG4G2350	AT1G78610.1	CARHR072100.1	Carub.0002s2546.1.p	gene-TAV2_LOCUS17384
8065	Aa31LG4G2360	AT1G78600.2	CARHR072090.1	Carub.0002s2545.1.p	gene-TAV2_LOCUS17300
8066	Aa31LG4G2370	AT1G78590.2	CARHR072080.1	Carub.0002s2544.1.p	gene-TAV2_LOCUS17641
8067	Aa31LG4G2380	AT1G78580.1	CARHR072070.1	Carub.0002s2543.1.p	gene-TAV2_LOCUS17642
8068	Aa31LG4G2420	AT1G78550.1	CARHR072040.1	Carub.0002s2540.1.p	gene-TAV2_LOCUS17645
8069	Aa31LG4G2430	AT1G78540.2	CARHR072030.1	Carub.0002s2539.1.p	gene-TAV2_LOCUS17646
8070	Aa31LG4G2520	AT1G78440.1	CARHR071960.1	Carub.0002s2534.1.p	gene-TAV2_LOCUS16849
8071	Aa31LG4G2540	AT1G78420.1	CARHR071940.1	Carub.0002s2532.1.p	gene-TAV2_LOCUS16511
8072	Aa31LG4G2570	AT1G78380.1	CARHR071880.1	Carub.0002s2527.1.p	gene-TAV2_LOCUS16516
8073	Aa31LG4G2600	AT1G17200.1	CARHR017780.1	Carub.0001s1695.1.p	gene-TAV2_LOCUS1811
8074	Aa31LG4G2610	AT1G17210.1	CARHR017790.1	Carub.0001s1696.1.p	gene-TAV2_LOCUS1810
8075	Aa31LG4G2630	AT1G72250.3	CARHR065110.1	Carub.0002s1906.1.p	gene-TAV2_LOCUS16798
8076	Aa31LG4G2640	AT1G72280.1	CARHR065120.1	Carub.0002s1908.1.p	gene-TAV2_LOCUS16801
8077	Aa31LG4G2660	AT1G72300.1	CARHR065190.1	Carub.0002s1915.1.p	gene-TAV2_LOCUS26174
8078	Aa31LG4G2680	AT1G72320.1	CARHR065220.1	Carub.0002s1918.1.p	gene-TAV2_LOCUS15622
8079	Aa31LG4G2700	AT1G72330.3	CARHR065240.1	Carub.0002s1919.1.p	gene-TAV2_LOCUS15619
8080	Aa31LG4G2730	AT1G72390.1	CARHR065290.1	Carub.0002s1924.1.p	gene-TAV2_LOCUS15626
8081	Aa31LG4G2770	AT1G72440.1	CARHR065370.1	Carub.0002s1929.1.p	gene-TAV2_LOCUS16230
8082	Aa31LG4G2780	AT1G72450.1	CARHR065390.1	Carub.0002s1930.1.p	gene-TAV2_LOCUS15161
8083	Aa31LG4G2790	AT1G72460.1	CARHR065400.1	Carub.0002s1931.1.p	gene-TAV2_LOCUS16228
8084	Aa31LG4G2810	AT1G72480.1	CARHR065410.1	Carub.0002s1933.1.p	gene-TAV2_LOCUS16227
8085	Aa31LG4G2820	AT1G72490.3	CARHR065430.1	Carub.0002s1934.1.p	gene-TAV2_LOCUS16226
8086	Aa31LG4G2830	AT1G72500.1	CARHR065440.1	Carub.0002s1935.1.p	gene-TAV2_LOCUS16225
8087	Aa31LG4G2850	AT1G72520.1	CARHR065460.1	Carub.0002s1938.1.p	gene-TAV2_LOCUS15159
8088	Aa31LG4G2860,Aa31LG4G2930	AT1G72530.2	CARHR065470.1	Carub.0002s1939.1.p	*
8089	Aa31LG4G2910	AT1G72560.6	CARHR065500.1	Carub.0002s1942.1.p	gene-TAV2_LOCUS17616
8090	Aa31LG4G2920,Aa31LG4G2960	AT1G72540.1	CARHR065480.1	Carub.0002s1940.1.p	*
8091	Aa31LG4G2990	AT1G17440.1	CARHR018030.1	Carub.0001s1720.1.p	gene-TAV2_LOCUS405
8092	Aa31LG4G3000	AT1G72630.1	CARHR065550.1	Carub.0002s1947.1.p	gene-TAV2_LOCUS18178
8093	Aa31LG4G3010	AT1G72640.1	CARHR065560.1	Carub.0002s1948.1.p	gene-TAV2_LOCUS18179
8094	Aa31LG4G3020	AT1G72650.2	CARHR065570.1	Carub.0002s1950.1.p	gene-TAV2_LOCUS18180
8095	Aa31LG4G3030	AT1G72670.1	CARHR065590.1	Carub.0002s1952.1.p	gene-TAV2_LOCUS18176
8096	Aa31LG4G3040	AT1G72680.1	CARHR065600.1	Carub.0002s1953.1.p	gene-TAV2_LOCUS17614
8097	Aa31LG4G3050	AT1G72690.1	CARHR065610.1	Carub.0002s1954.1.p	gene-TAV2_LOCUS17615
8098	Aa31LG4G3060	AT1G72700.2	CARHR065620.1	Carub.0002s1955.1.p	gene-TAV2_LOCUS15350
8099	Aa31LG4G3080	AT1G72730.1	CARHR065650.1	Carub.0002s1958.1.p	gene-TAV2_LOCUS15349
8100	Aa31LG4G3090	AT1G72740.1	CARHR065660.1	Carub.0002s1959.1.p	gene-TAV2_LOCUS15356
8101	Aa31LG4G3110	AT1G72760.2	CARHR065680.1	Carub.0002s1961.1.p	gene-TAV2_LOCUS15355
8102	Aa31LG4G3120	AT1G72770.1	CARHR065690.1	Carub.0002s1962.1.p	gene-TAV2_LOCUS15357
8103	Aa31LG4G3160	AT1G72820.1	CARHR065740.1	Carub.0002s1966.1.p	gene-TAV2_LOCUS15352
8104	Aa31LG4G3170	AT1G72830.2	CARHR065750.1	Carub.0002s1967.1.p	gene-TAV2_LOCUS15351
8105	Aa31LG4G3200	AT1G72880.1	CARHR065870.1	Carub.0002s1968.1.p	gene-TAV2_LOCUS17390
8106	Aa31LG4G3210	AT1G72890.2	CARHR065880.1	Carub.0002s1969.1.p	gene-TAV2_LOCUS17391
8107	Aa31LG4G3230	AT1G72970.1	CARHR065940.1	Carub.0002s1973.1.p	gene-TAV2_LOCUS17397
8108	Aa31LG4G3250	AT1G72990.1	CARHR065960.1	Carub.0002s1975.1.p	gene-TAV2_LOCUS17398
8109	Aa31LG4G3270	AT1G73010.1	CARHR065980.1	Carub.0002s1977.1.p	gene-TAV2_LOCUS17395
8110	Aa31LG4G3290	AT2G48120.1	CARHR124900.1	Carub.0004s3083.1.p	gene-TAV2_LOCUS14466
8111	Aa31LG4G3300	AT2G48110.1	CARHR143510.1	Carub.0004s3082.1.p	gene-TAV2_LOCUS14465
8112	Aa31LG4G3310	AT1G73020.1	CARHR065990.1	Carub.0002s1978.1.p	gene-TAV2_LOCUS17396
8113	Aa31LG4G3330	AT1G73060.1	CARHR066030.1	Carub.0002s1982.1.p	gene-TAV2_LOCUS17393
8114	Aa31LG4G3340	AT1G73050.1	CARHR066020.1	Carub.0002s1981.1.p	gene-TAV2_LOCUS17392
8115	Aa31LG4G3350	AT1G73080.1	CARHR066050.1	Carub.0002s1985.1.p	gene-TAV2_LOCUS17962
8116	Aa31LG4G3380	AT1G73110.1	CARHR066080.1	Carub.0002s1988.1.p	gene-TAV2_LOCUS17713
8117	Aa31LG4G3390	AT1G73120.1	CARHR066090.1	Carub.0002s1989.1.p	gene-TAV2_LOCUS17712
8118	Aa31LG4G3400	AT1G73130.1	CARHR066100.1	Carub.0002s1990.1.p	gene-TAV2_LOCUS17711
8119	Aa31LG4G3410	AT1G73140.1	CARHR066110.1	Carub.0002s1991.1.p	gene-TAV2_LOCUS17710
8120	Aa31LG4G3450	AT1G73170.3	CARHR066160.1	Carub.0002s1995.1.p	gene-TAV2_LOCUS17709
8121	Aa31LG4G3470	AT1G73180.1	CARHR066180.1	Carub.0002s1997.1.p	gene-TAV2_LOCUS17708
8122	Aa31LG4G3480	AT1G73200.1	CARHR066210.1	Carub.0002s1999.1.p	gene-TAV2_LOCUS17706
8123	Aa31LG4G3500	AT1G73210.2	CARHR066220.1	Carub.0002s2001.1.p	gene-TAV2_LOCUS16564
8124	Aa31LG4G3510	AT1G73220.1	CARHR066230.1	Carub.0002s2002.1.p	gene-TAV2_LOCUS16565
8125	Aa31LG4G3520	AT1G73230.1	CARHR066240.1	Carub.0002s2003.1.p	gene-TAV2_LOCUS16566
