ATfeature,refGene,Aar,Ath,Bra,Chi,Cru,Csa,Sal,Tar
AT5G39980,AT5G39980.1,,AT5G39980.1,,CARHR262150.1,Carub.0007s3571.1.p,,,gene-TAV2_LOCUS23175
AT1G52650,AT1G52650.1,,"AT1G52650.1, AT3G59000.1, AT4G13960.2, AT5G38390.1, AT5G38396.1, AT3G58900.4",,"CARHR136780.1, CARHR169340.1, CARHR186450.1, CARHR214200.1, CARHR286030.1, CARHR169400.1","Carub.0005s2565.1.p, Carub.0005s2595.1.p, Carub.0007s3169.1.p, Carub.0007s3170.1.p, Carub.0007s3423.1.p, Carub.0007s3762.1.p, Carub.0007s3763.1.p, Carub.0007s3765.1.p, Carub.0007s3768.1.p",,,
AT3G58820,AT3G58820.1,,AT3G58820.1,,,Carub.0005s2560.1.p,,,
AT3G59000,AT3G59000.1,,"AT1G52650.1, AT3G59000.1, AT4G13960.2, AT5G38390.1, AT5G38396.1, AT3G58900.4",,"CARHR136780.1, CARHR169340.1, CARHR186450.1, CARHR214200.1, CARHR286030.1, CARHR169400.1","Carub.0005s2565.1.p, Carub.0005s2595.1.p, Carub.0007s3169.1.p, Carub.0007s3170.1.p, Carub.0007s3423.1.p, Carub.0007s3762.1.p, Carub.0007s3763.1.p, Carub.0007s3765.1.p, Carub.0007s3768.1.p",,,
AT4G13960,AT4G13960.2,,"AT1G52650.1, AT3G59000.1, AT4G13960.2, AT5G38390.1, AT5G38396.1, AT3G58900.4",,"CARHR136780.1, CARHR169340.1, CARHR186450.1, CARHR214200.1, CARHR286030.1, CARHR169400.1","Carub.0005s2565.1.p, Carub.0005s2595.1.p, Carub.0007s3169.1.p, Carub.0007s3170.1.p, Carub.0007s3423.1.p, Carub.0007s3762.1.p, Carub.0007s3763.1.p, Carub.0007s3765.1.p, Carub.0007s3768.1.p",,,
AT5G38386,AT5G38386.2,,,,,,,,
AT5G38390,AT5G38390.1,,"AT1G52650.1, AT3G59000.1, AT4G13960.2, AT5G38390.1, AT5G38396.1",,CARHR169340.1,"Carub.0005s2595.1.p, Carub.0007s3169.1.p, Carub.0007s3170.1.p, Carub.0007s3423.1.p, Carub.0007s3762.1.p, Carub.0007s3763.1.p, Carub.0007s3765.1.p, Carub.0007s3768.1.p",,,
AT5G38396,AT5G38396.1,,"AT1G52650.1, AT3G59000.1, AT4G13960.2, AT5G38390.1, AT5G38396.1, AT3G58900.4",,"CARHR136780.1, CARHR169340.1, CARHR186450.1, CARHR214200.1, CARHR286030.1, CARHR169400.1","Carub.0005s2565.1.p, Carub.0005s2595.1.p, Carub.0007s3169.1.p, Carub.0007s3170.1.p, Carub.0007s3423.1.p, Carub.0007s3762.1.p, Carub.0007s3763.1.p, Carub.0007s3765.1.p, Carub.0007s3768.1.p",,,
AR401,AT1G66680.1,Aa31LG2G3180,AT1G66680.1,,CARHR058730.1,Carub.0002s1288.1.p,,,gene-TAV2_LOCUS17342
AT2G07760,AT2G07760.1,,"AT2G07760.1, AT5G28823.1",,CARHR183910.1,"Carub.0001s1624.1.p, Carub.0002s1565.1.p, Carub.0007s3131.1.p",,,gene-TAV2_LOCUS12577
AT5G28823,AT5G28823.1,,"AT2G07760.1, AT5G28823.1",,,Carub.0007s3131.1.p,,,gene-TAV2_LOCUS12577
AT3G58630,AT3G58630.1,Aa31LG10G13210,AT3G58630.1,,CARHR169020.1,Carub.0005s2540.1.p,,,gene-TAV2_LOCUS17314
AT1G66045,AT1G66045.1,,,,,,,,
AT3G60040,AT3G60040.3,,AT3G60040.3,,"CARHR170350.1, CARHR170010.1","Carub.0005s2678.1.p, Carub.0005s2634.1.p, Carub.0005s2659.1.p",,,gene-TAV2_LOCUS17956
AT4G03040,AT4G03040.1,,,,,,,,
AT5G33330,AT5G33330.1,"Aa31LG11G4790, Aa31LG1G1440, Aa31LG3G5620, Aa31LG4G11770, Aa31LG7G1610, Aa31LG7G9420, Aa31sc118G40, Aa31sc369G20, Aa31sc404G30, Aa31sc62G10, Aa31sc730G50",AT5G33330.1,,,,,,
AT1G58310,AT1G58310.1,,AT1G58310.1,,,Carub.0002s0624.1.p,,,
AT3G49150,AT3G49150.1,,"AT3G49150.1, AT3G59240.1",,CARHR061840.1,Carub.0005s2597.1.p,,,gene-TAV2_LOCUS15485
AT3G59160,AT3G59160.1,,"AT3G59160.1, AT3G59170.1",,"CARHR150810.1, CARHR169560.1",Carub.0005s2590.1.p,,,
AT3G59170,AT3G59170.1,,"AT3G59160.1, AT3G59170.1",,"CARHR150810.1, CARHR169560.1",Carub.0005s2590.1.p,,,
AT3G59180,AT3G59180.1,,,,,,,,
AT3G59190,AT3G59190.2,,AT3G59190.2,,,Carub.0005s2591.1.p,,,
AT3G59200,AT3G59200.1,,AT3G59200.1,,CARHR169580.1,Carub.0005s2592.1.p,,,"gene-TAV2_LOCUS15486, gene-TAV2_LOCUS17260"
AT3G59210,AT3G59210.1,,AT3G59210.1,,CARHR169600.1,Carub.0005s2593.1.p,,,gene-TAV2_LOCUS17387
AT3G59230,AT3G59230.1,,,,,,,,
AT3G59240,AT3G59240.1,,"AT3G49150.1, AT3G59240.1",,CARHR061840.1,Carub.0005s2597.1.p,,,gene-TAV2_LOCUS15485
AT3G59250,AT3G59250.1,,AT3G59250.1,,CARHR123020.1,Carub.0005s2598.1.p,,,
AT3G59270,AT3G59270.1,,AT3G59270.1,,CARHR061850.1,Carub.0005s2601.1.p,,,
AT4G00320,AT4G00320.1,,"AT4G00320.1, AT5G35926.2, AT5G41830.2, AT5G41840.1",,,"Carub.0007s3353.1.p, Carub.0007s3354.1.p",,,
AT4G14096,AT4G14096.2,,"AT4G14096.2, AT4G14103.2",,CARHR169570.1,Carub.0007s2832.1.p,,,
AT4G14103,AT4G14103.2,,"AT4G14096.2, AT4G14103.2",,CARHR169570.1,Carub.0007s2832.1.p,,,
AT5G35926,AT5G35926.2,,"AT4G00320.1, AT5G35926.2, AT5G41830.2, AT5G41840.1",,,"Carub.0007s3353.1.p, Carub.0007s3354.1.p",,,
AT5G41630,AT5G41630.1,,,,,,,,
AT5G41830,AT5G41830.2,,"AT4G00320.1, AT5G35926.2, AT5G41830.2, AT5G41840.1",,,"Carub.0007s3353.1.p, Carub.0007s3354.1.p",,,
AT5G41840,AT5G41840.1,,"AT4G00320.1, AT5G35926.2, AT5G41830.2, AT5G41840.1",,,"Carub.0007s3353.1.p, Carub.0007s3354.1.p",,,
PEX3,AT1G48635.2,,AT1G48635.2,,CARHR038280.1,Carub.0001s3778.1.p,,,
AT1G48640,AT1G48640.1,,AT1G48640.1,,CARHR038290.1,Carub.0001s3779.1.p,,,gene-TAV2_LOCUS1623
COX1,ATMG01360.1,,ATMG01360.1,,CARHR283530.1,,,,
AT1G07170,AT1G07170.3,Aa31LG5G6690,"AT1G07170.3, AT2G30000.1",,"CARHR006880.1, CARHR123250.1","Carub.0001s0646.1.p, Carub.0004s1110.1.p",,,gene-TAV2_LOCUS3541
AT2G30000,AT2G30000.1,Aa31LG5G6690,"AT1G07170.3, AT2G30000.1",,"CARHR006880.1, CARHR123250.1","Carub.0001s0646.1.p, Carub.0004s1110.1.p",,,gene-TAV2_LOCUS3541
CARA,AT3G27740.1,,AT3G27740.1,,CARHR038270.1,Carub.0005s0630.1.p,,,gene-TAV2_LOCUS17076
AT3G42770,AT3G42770.1,,"AT3G42770.1, AT3G44060.1",,,"Carub.0003s2967.1.p, Carub.0005s0984.1.p, Carub.0005s0991.1.p, Carub.0005s0992.1.p, Carub.0267s0001.1.p",,,
AT3G44060,AT3G44060.1,,"AT3G42770.1, AT3G44060.1",,,"Carub.0003s2967.1.p, Carub.0005s0984.1.p, Carub.0005s0991.1.p, Carub.0005s0992.1.p, Carub.0267s0001.1.p",,,
AT3G44080,AT3G44080.1,,,,,,,,
AT3G44090,AT3G44090.1,,,,,,,,
AT3G44180,AT3G44180.1,,,,,,,,
AT3G44810,AT3G44810.1,,AT3G44810.1,,,"Carub.0005s1055.1.p, Carub.0005s1056.1.p",,,
AT2G01050,AT2G01050.1,Aa31sc194G20,AT2G01050.1,,CARHR114800.1,,,,
AGL66,AT1G77980.1,Aa31LG4G8020,AT1G77980.1,,CARHR071440.1,Carub.0002s2487.1.p,,,
AT1G10000,AT1G10000.1,,AT1G10000.1,,,,,,"gene-TAV2_LOCUS13855, gene-TAV2_LOCUS19894"
AT2G02650,AT2G02650.1,,AT2G02650.1,,,,,,
AT2G06845,AT2G06845.1,,,,,,,,
AT2G13980,AT2G13980.1,,,,,,,,
AT2G22440,AT2G22440.1,,AT2G22440.1,,,,,,
AT2G34320,AT2G34320.1,,,,,,,,
AT3G09510,AT3G09510.1,,AT3G09510.1,,,,,,
AT3G25270,AT3G25270.1,,"AT3G25270.1, AT1G04625.1, AT1G27870.1, AT1G77815.1, AT2G04420.1, AT2G46460.1",,"CARHR043800.1, CARHR123710.1",Carub.0004s1022.1.p,,,"gene-TAV2_LOCUS14639, gene-TAV2_LOCUS15267"
AT3G26855,AT3G26855.1,,,,,,,,
AT3G29791,AT3G29791.1,,,,,,,,
AT3G43837,AT3G43837.1,,,,,,,,
AT4G03566,AT4G03566.1,,AT4G03566.1,,CARHR177480.1,,,,
AT4G09490,AT4G09490.1,,AT4G09490.1,,CARHR217600.1,,,,
AT4G29090,AT4G29090.1,,,,,,,,
AT5G19270,AT5G19270.1,,AT5G19270.1,,,Carub.0007s3605.1.p,,,"gene-TAV2_LOCUS24190, gene-TAV2_LOCUS25087, gene-TAV2_LOCUS375"
AT5G38920,AT5G38920.1,,,,,,,,
AT5G42965,AT5G42965.1,,,,,,,,
AT5G52115,AT5G52115.1,,"AT5G52115.1, AT5G65005.1",,,,,,
AT5G65005,AT5G65005.1,,"AT5G52115.1, AT5G65005.1",,,,,,
ORF154,ATMG00310.1,,,,,,,,
AT1G47915,AT1G47915.1,,AT1G47915.1,,CARHR098790.1,,,,
AT3G59460,AT3G59460.1,,AT3G59460.1,,,,,,gene-TAV2_LOCUS15994
AT5G40050,AT5G40050.1,,AT5G40050.1,,,Carub.0007s3560.1.p,,,
AT1G43145,AT1G43145.1,,,,,,,,
AT1G43680,AT1G43680.1,,,,,,,,
AT2G02103,AT2G02103.1,,,,,,,,
AT2G13450,AT2G13450.1,,,,,,,,
AT2G13500,AT2G13500.1,,,,,,,,
AT2G13510,AT2G13510.1,,,,,,,,
AT2G16676,AT2G16676.1,,,,,,,,
AT2G17905,AT2G17905.1,,AT2G17905.1,,CARHR150970.1,Carub.0008s0689.1.p,,,
AT2G17920,AT2G17920.1,,,,,,,,
AT2G31590,AT2G31590.1,,,,,,,,
AT2G41590,AT2G41590.1,,,,,,,,
AT3G31430,AT3G31430.1,,,,,,,,
AT3G42140,AT3G42140.1,,AT3G42140.1,,"CARHR119870.1, CARHR153090.1, CARHR260200.1",,,,
AT3G47920,AT3G47920.1,,,,,,,,
AT3G57587,AT3G57587.1,,,,,,,,
AT4G02000,AT4G02000.1,,,,,,,,
AT4G04730,AT4G04730.1,,,,,,,,
AT5G18636,AT5G18636.1,,,,,,,,
AT5G25200,AT5G25200.1,,,,,,,,
AT5G25600,AT5G25600.1,,,,,,,,
AT5G35737,AT5G35737.1,,,,,,,,
AT5G36225,AT5G36225.1,,,,,,,,
AT5G36228,AT5G36228.1,,,,,,,,
AT5G40595,AT5G40595.1,,AT5G40595.1,,CARHR119160.1,Carub.0008s0709.1.p,,,
AT5G51195,AT5G51195.1,,,,,,,,
AT1G04625,AT1G04625.1,,"AT1G04625.1, AT1G27870.1, AT1G77815.1, AT2G04420.1, AT2G46460.1, AT3G25270.1",,"CARHR043800.1, CARHR123710.1",Carub.0004s1022.1.p,,,"gene-TAV2_LOCUS14639, gene-TAV2_LOCUS15267"
AT1G27870,AT1G27870.1,,"AT1G04625.1, AT1G27870.1, AT1G77815.1, AT2G04420.1, AT2G46460.1, AT3G25270.1",,"CARHR043800.1, CARHR123710.1",Carub.0004s1022.1.p,,,"gene-TAV2_LOCUS14639, gene-TAV2_LOCUS15267"
AT1G47497,AT1G47497.1,,,,,,,,
AT1G50160,AT1G50160.1,,,,,,,,
AT1G77815,AT1G77815.1,,"AT1G04625.1, AT1G27870.1, AT1G77815.1, AT2G04420.1, AT2G46460.1, AT3G25270.1",,"CARHR043800.1, CARHR123710.1",Carub.0004s1022.1.p,,,"gene-TAV2_LOCUS14639, gene-TAV2_LOCUS15267"
AT2G04420,AT2G04420.1,,"AT1G04625.1, AT1G27870.1, AT1G77815.1, AT2G04420.1, AT2G46460.1, AT3G25270.1",,"CARHR043800.1, CARHR123710.1",Carub.0004s1022.1.p,,,"gene-TAV2_LOCUS14639, gene-TAV2_LOCUS15267"
AT2G46460,AT2G46460.1,,"AT1G04625.1, AT1G27870.1, AT1G77815.1, AT2G04420.1, AT2G46460.1, AT3G25270.1",,"CARHR043800.1, CARHR123710.1",Carub.0004s1022.1.p,,,"gene-TAV2_LOCUS14639, gene-TAV2_LOCUS15267"
AT4G03292,AT4G03292.1,,,,,,,,
AT4G09775,AT4G09775.1,,,,,,,,
AT5G26617,AT5G26617.1,,,,,,,,
AT5G43755,AT5G43755.1,,,,,,,,
AT3G03030,AT3G03030.1,,"AT3G03030.1, AT3G03040.1",,,"Carub.0003s0218.1.p, Carub.0003s0219.1.p",,,gene-TAV2_LOCUS17412
AT3G03040,AT3G03040.1,,"AT3G03030.1, AT3G03040.1",,,"Carub.0003s0218.1.p, Carub.0003s0219.1.p",,,gene-TAV2_LOCUS17412
AT3G58860,AT3G58860.1,,"AT3G58860.1, AT3G58900.4, AT3G58930.1, AT3G58940.1",,"CARHR169280.1, CARHR169310.1, CARHR169400.1","Carub.0005s2568.1.p, Carub.0005s2569.1.p, Carub.0005s2565.1.p",,,
AT3G58875,AT3G58875.1,,AT3G58875.1,,,,,,"gene-TAV2_LOCUS11190, gene-TAV2_LOCUS16628"
AT3G58880,AT3G58880.1,,AT3G58880.1,,CARHR169290.1,Carub.0005s2566.1.p,,,
AT3G58890,AT3G58890.1,,,,,,,,
AT3G58900,AT3G58900.4,,"AT3G58860.1, AT3G58900.4, AT3G58930.1, AT3G58940.1, AT1G52650.1, AT3G59000.1, AT4G13960.2, AT5G38396.1",,"CARHR169280.1, CARHR169310.1, CARHR169400.1, CARHR169340.1","Carub.0005s2568.1.p, Carub.0005s2569.1.p, Carub.0005s2595.1.p, Carub.0007s3762.1.p, Carub.0007s3763.1.p",,,
AT3G58910,AT3G58910.1,,,,,,,,
AT3G58930,AT3G58930.1,,"AT3G58860.1, AT3G58900.4, AT3G58930.1, AT3G58940.1",,"CARHR169280.1, CARHR169310.1, CARHR169400.1","Carub.0005s2568.1.p, Carub.0005s2569.1.p",,,gene-TAV2_LOCUS16625
AT3G58940,AT3G58940.1,,"AT3G58860.1, AT3G58900.4, AT3G58930.1, AT3G58940.1",,"CARHR169280.1, CARHR169310.1, CARHR169400.1","Carub.0005s2568.1.p, Carub.0005s2569.1.p",,,gene-TAV2_LOCUS16625
AT3G58950,AT3G58950.1,,,,,,,,
AT5G38392,AT5G38392.1,,,,,,,,
AT1G24090,AT1G24090.1,Aa31LG7G7860,AT1G24090.1,,CARHR024370.1,Carub.0001s2352.1.p,,,
AT5G51080,AT5G51080.1,,,,,,,,
AT1G80970,AT1G80970.2,,"AT1G80970.2, AT1G80990.1",,CARHR073390.1,"Carub.0006s3725.1.p, Carub.0006s3726.1.p",,,
AT1G80990,AT1G80990.1,,"AT1G80970.2, AT1G80990.1",,CARHR073390.1,"Carub.0006s3725.1.p, Carub.0006s3726.1.p",,,
AT2G33796,AT2G33796.1,,,,,,,,
AT5G25860,AT5G25860.1,,AT5G25860.1,,,"Carub.0004s2718.1.p, Carub.0007s1125.1.p",,,"gene-TAV2_LOCUS12267, gene-TAV2_LOCUS13116, gene-TAV2_LOCUS13122, gene-TAV2_LOCUS24062"
AT1G19565,AT1G19565.1,,,,,,,,
AT4G20095,AT4G20095.3,,AT4G20095.3,,,,,,
AT1G52990,AT1G52990.1,,"AT1G52990.1, AT3G23320.1",,"CARHR146840.1, CARHR217450.1",,,,"gene-TAV2_LOCUS10592, gene-TAV2_LOCUS5201"
AT3G23320,AT3G23320.1,,"AT1G52990.1, AT3G23320.1",,"CARHR146840.1, CARHR217450.1",,,,"gene-TAV2_LOCUS10592, gene-TAV2_LOCUS5201"
AT5G44470,AT5G44470.1,,,,,,,,
AT3G44070,AT3G44070.1,,,,,,,,
AT3G59150,AT3G59150.1,Aa31LG10G13600,AT3G59150.1,,CARHR169550.1,Carub.0005s2589.1.p,,,gene-TAV2_LOCUS15489
AT3G60050,AT3G60050.1,Aa31LG2G1100,AT3G60050.1,,CARHR170360.1,,,,
AT3G60070,AT3G60070.2,Aa31LG10G14230,AT3G60070.2,,CARHR170380.1,Carub.0005s2680.1.p,,,
AT1G47770,AT1G47770.1,,,,,,,,
AT3G01345,AT3G01345.1,,,,,,,,
AT5G35760,AT5G35760.1,,,,,,,,
AT5G61090,AT5G61090.1,Aa31LG11G2240,AT5G61090.1,,CARHR274780.1,,,,
AT4G08593,AT4G08593.1,,,,,,,,
AT5G41660,AT5G41660.1,,,,,,,,
AT5G45095,AT5G45095.1,,,,,,,,
BGLU36,AT1G51490.1,,,,,,,,
AT2G04690,AT2G04690.5,Aa31LG9G1540,AT2G04690.5,,CARHR102620.1,Carub.0003s2629.1.p,,,gene-TAV2_LOCUS24442
AT4G15140,AT4G15140.1,Aa31LG9G2250,AT4G15140.1,,CARHR221880.1,Carub.0007s2685.1.p,,,gene-TAV2_LOCUS25733
AT4G15030,AT4G15030.2,Aa31LG9G2320,AT4G15030.2,,CARHR221730.1,Carub.0007s2707.1.p,,,gene-TAV2_LOCUS24687
emb2739,AT4G14590.1,Aa31LG9G2740,AT4G14590.1,,CARHR220820.1,Carub.0007s2761.1.p,,,
AT4G14385,AT4G14385.1,Aa31LG9G2930,AT4G14385.1,,CARHR220610.1,Carub.0007s2785.1.p,,,gene-TAV2_LOCUS25849
AT4G14305,AT4G14305.1,Aa31LG9G3060,AT4G14305.1,,CARHR220490.1,Carub.0007s2799.1.p,,,
AT4G14310,AT4G14310.2,Aa31LG9G3050,AT4G14310.2,,CARHR220500.1,Carub.0007s2798.1.p,,,"gene-TAV2_LOCUS24521, gene-TAV2_LOCUS24521"
AT4G14200,AT4G14200.1,Aa31LG9G3190,AT4G14200.1,,CARHR220270.1,Carub.0007s2819.1.p,,,gene-TAV2_LOCUS25286
CSN8,AT4G14110.1,Aa31LG9G3260,AT4G14110.1,,CARHR220130.1,Carub.0007s2831.1.p,,,"gene-TAV2_LOCUS22092, gene-TAV2_LOCUS24451"
FFC,AT5G03940.1,"Aa31LG1G21360, Aa31LG1G21360",AT5G03940.1,,CARHR209330.1,Carub.0006s0289.1.p,,,gene-TAV2_LOCUS19959
ABCB29,AT5G03910.1,,AT5G03910.1,,CARHR209340.1,Carub.0006s0287.1.p,,,gene-TAV2_LOCUS19962
AT1G67020,AT1G67020.1,,AT1G67020.1,,CARHR053150.1,Carub.0004s0689.1.p,,,
ARPC4,AT4G14147.2,Aa31LG9G3900,AT4G14147.2,,CARHR220180.1,Carub.0007s2827.1.p,,,gene-TAV2_LOCUS24453
AT4G13690,AT4G13690.1,Aa31LG9G3970,AT4G13690.1,,CARHR219460.1,Carub.0007s2878.1.p,,,gene-TAV2_LOCUS24658
PTAC5,AT4G13670.1,Aa31LG9G3990,AT4G13670.1,,CARHR219440.1,Carub.0007s2880.1.p,,,gene-TAV2_LOCUS23290
AT4G13550,AT4G13550.2,Aa31LG9G4110,AT4G13550.2,,CARHR219180.1,Carub.0007s2899.1.p,,,gene-TAV2_LOCUS23144
AT4G13330,AT4G13330.2,Aa31LG9G4440,AT4G13330.2,,CARHR218870.1,Carub.0007s2931.1.p,,,gene-TAV2_LOCUS25706
AT4G13200,AT4G13200.1,Aa31LG9G4610,AT4G13200.1,,CARHR218670.1,Carub.0007s2947.1.p,,,gene-TAV2_LOCUS24595
AT4G13150,AT4G13150.1,Aa31LG9G4780,AT4G13150.1,,CARHR218600.1,Carub.0007s2955.1.p,,,gene-TAV2_LOCUS25924
AT5G47570,AT5G47570.1,Aa31LG9G5470,AT5G47570.1,,CARHR173780.1,Carub.0008s0021.1.p,,,gene-TAV2_LOCUS7098
TDT,AT5G47560.1,Aa31LG9G5480,AT5G47560.1,,CARHR173790.1,Carub.0008s0022.1.p,,,gene-TAV2_LOCUS7099
MSP2,AT5G46795.1,Aa31LG9G6090,AT5G46795.1,,CARHR174700.1,Carub.0008s0112.1.p,,,gene-TAV2_LOCUS6799
AT5G46560,AT5G46560.1,Aa31LG9G6360,AT5G46560.1,,CARHR175020.1,Carub.0008s0136.1.p,,,gene-TAV2_LOCUS7165
AT5G46030,AT5G46030.2,Aa31LG9G6860,AT5G46030.2,,CARHR175900.1,Carub.0008s0190.1.p,,,gene-TAV2_LOCUS7282
AT5G46020,AT5G46020.1,Aa31LG9G6880,AT5G46020.1,,CARHR175920.1,Carub.0008s0191.1.p,,,gene-TAV2_LOCUS5325
AT5G45660,AT5G45660.1,Aa31LG9G7390,AT5G45660.1,,CARHR176320.1,Carub.0008s0235.1.p,,,gene-TAV2_LOCUS6972
SUV2,AT5G45610.1,Aa31LG9G7440,AT5G45610.1,,CARHR176410.1,Carub.0008s0241.1.p,,,"gene-TAV2_LOCUS6964, gene-TAV2_LOCUS7314"
AT5G45590,AT5G45590.1,Aa31LG9G7450,AT5G45590.1,,CARHR176440.1,Carub.0008s0244.1.p,,,gene-TAV2_LOCUS7320
DUR3,AT5G45380.1,Aa31LG9G7630,AT5G45380.1,,CARHR176690.1,Carub.0008s0273.1.p,,,gene-TAV2_LOCUS5334
SKIP31,AT5G45360.1,Aa31LG9G7650,AT5G45360.1,,CARHR176710.1,Carub.0008s0275.1.p,,,gene-TAV2_LOCUS5332
AT5G45310,AT5G45310.1,Aa31LG9G7710,AT5G45310.1,,CARHR176830.1,Carub.0008s0284.1.p,,,gene-TAV2_LOCUS7608
PETJ,AT5G45040.1,Aa31LG9G8170,AT5G45040.1,,CARHR177680.1,Carub.0008s0327.1.p,,,gene-TAV2_LOCUS7716
IAR1,AT1G68100.1,Aa31LG9G8490,AT1G68100.1,,CARHR060770.1,Carub.0002s1458.1.p,,,gene-TAV2_LOCUS17014
AT4G03620,AT4G03620.1,Aa31LG9G8890,AT4G03620.1,,CARHR252040.1,Carub.0006s3344.1.p,,,gene-TAV2_LOCUS20977
EDA35,AT4G05440.1,Aa31LG9G9140,AT4G05440.1,,CARHR252140.1,Carub.0006s3335.1.p,,,gene-TAV2_LOCUS20975
DES-1-LIKE,AT4G04930.1,Aa31LG9G9560,AT4G04930.1,,,Carub.0006s3285.1.p,,,gene-TAV2_LOCUS22295
RBCX1,AT4G04330.1,Aa31LG9G9870,AT4G04330.1,,CARHR253150.1,Carub.0006s3216.1.p,,,gene-TAV2_LOCUS19027
AT4G12580,AT4G12580.1,Aa31LG9G10070,AT4G12580.1,,CARHR253590.1,Carub.0006s3185.1.p,,,gene-TAV2_LOCUS21806
AT4G12540,AT4G12540.1,Aa31LG9G10130,AT4G12540.1,,CARHR253650.1,Carub.0006s3171.1.p,,,gene-TAV2_LOCUS20332
LPPB,AT4G22550.1,Aa31LG9G10150,AT4G22550.1,,CARHR229440.1,Carub.0007s1876.1.p,,,gene-TAV2_LOCUS22911
AT4G12070,AT4G12070.1,Aa31LG9G10410,AT4G12070.1,,CARHR254160.1,Carub.0006s3119.1.p,,,gene-TAV2_LOCUS21986
NUDT14,AT4G11980.1,Aa31LG9G10490,AT4G11980.1,,CARHR254310.1,Carub.0006s3108.1.p,,,gene-TAV2_LOCUS21930
HMGS,AT4G11820.2,Aa31LG9G10610,AT4G11820.2,,CARHR254460.1,Carub.0006s3093.1.p,,,gene-TAV2_LOCUS21578
AT4G11790,AT4G11790.1,Aa31LG9G10640,AT4G11790.1,,CARHR254520.1,Carub.0006s3090.1.p,,,gene-TAV2_LOCUS21576
AT4G23330,AT4G23330.1,Aa31LG9G10800,AT4G23330.1,,CARHR230670.1,Carub.0007s1784.1.p,,,
AT3G06090,AT3G06090.1,,AT3G06090.1,,CARHR080600.1,Carub.0003s0553.1.p,,,
AT4G11402,AT4G11402.1,Aa31LG9G10830,AT4G11402.1,,CARHR255170.1,Carub.0006s3034.1.p,,,gene-TAV2_LOCUS20431
AT4G11270,AT4G11270.1,Aa31LG9G10920,AT4G11270.1,,CARHR255320.1,Carub.0006s3015.1.p,,,gene-TAV2_LOCUS19253
AT4G11175,AT4G11175.1,Aa31LG9G11000,AT4G11175.1,,CARHR255400.1,Carub.0006s3001.1.p,,,
AT4G10330,AT4G10330.1,Aa31LG9G11680,AT4G10330.1,,CARHR256310.1,Carub.0006s2893.1.p,,,gene-TAV2_LOCUS20012
DET1,AT4G10180.1,Aa31LG9G11770,AT4G10180.1,,CARHR256640.1,Carub.0006s2874.1.p,,,gene-TAV2_LOCUS22239
CNX7,AT4G10100.3,Aa31LG9G11900,AT4G10100.3,,CARHR261140.1,Carub.0006s2867.1.p,,,
ELP6,AT4G10090.1,Aa31LG9G11910,AT4G10090.1,,CARHR261110.1,Carub.0006s2866.1.p,,,gene-TAV2_LOCUS18942
AT4G10050,AT4G10050.1,Aa31LG9G11940,AT4G10050.1,,,Carub.0006s2860.1.p,,,gene-TAV2_LOCUS18938
AT4G09970,AT4G09970.1,Aa31LG9G12020,AT4G09970.1,,CARHR260950.1,Carub.0006s2851.1.p,,,gene-TAV2_LOCUS20069
AT5G42150,AT5G42150.1,Aa31LG9G12310,AT5G42150.1,,CARHR284720.1,Carub.0008s0714.1.p,,,gene-TAV2_LOCUS5824
AT5G42290,AT5G42290.1,Aa31LG9G12400,AT5G42290.1,,CARHR284890.1,Carub.0008s0691.1.p,,,
AT5G42320,AT5G42320.2,Aa31LG9G12440,AT5G42320.2,,CARHR284930.1,Carub.0008s0686.1.p,,,gene-TAV2_LOCUS7368
AT5G42330,AT5G42330.1,Aa31LG9G12460,AT5G42330.1,,CARHR284960.1,Carub.0008s0685.1.p,,,gene-TAV2_LOCUS19721
AT5G43822,AT5G43822.1,Aa31LG9G12490,AT5G43822.1,,CARHR179670.1,Carub.0008s0481.1.p,,,gene-TAV2_LOCUS5527
AT5G42370,AT5G42370.2,Aa31LG9G12520,AT5G42370.2,,CARHR285020.1,Carub.0008s0679.1.p,,,gene-TAV2_LOCUS23398
AT2G45730,AT2G45730.1,Aa31LG9G12650,AT2G45730.1,,CARHR140980.1,Carub.0004s2839.1.p,,,gene-TAV2_LOCUS14475
AT5G42620,AT5G42620.2,Aa31LG9G12670,AT5G42620.2,,CARHR181510.1,Carub.0008s0641.1.p,,,gene-TAV2_LOCUS7220
AT5G42765,AT5G42765.1,Aa31LG9G12820,AT5G42765.1,,CARHR181710.1,Carub.0008s0617.1.p,,,gene-TAV2_LOCUS6415
AT5G42785,AT5G42785.1,Aa31LG9G12850,AT5G42785.1,,CARHR181750.1,Carub.0008s0612.1.p,,,gene-TAV2_LOCUS6411
ATSCP2,AT5G42890.1,Aa31LG9G12950,AT5G42890.1,,CARHR181250.1,Carub.0008s0602.1.p,,,gene-TAV2_LOCUS8102
AT5G43260,AT5G43260.1,Aa31LG9G13330,AT5G43260.1,,CARHR180610.1,Carub.0008s0544.1.p,,,
AT2G33585,AT2G33585.1,Aa31LG9G13520,AT2G33585.1,,CARHR127610.1,Carub.0004s1522.1.p,,,gene-TAV2_LOCUS13109
AT2G33855,AT2G33855.1,Aa31LG9G13760,AT2G33855.1,,CARHR128020.1,Carub.0004s1556.1.p,,,
AT2G34050,AT2G34050.1,Aa31LG9G13860,AT2G34050.1,,CARHR128130.1,Carub.0004s1568.1.p,,,gene-TAV2_LOCUS13346
